time,tags,ozone,carbon_monoxide
2019-03-31 18:25:07.942,actual=green,78.0,97.0
2019-03-31 18:25:08.442,actual=green,74.0,96.0
2019-03-31 18:25:08.942,actual=green,78.0,100.0
2019-03-31 18:25:09.442,actual=green,77.0,105.0
2019-03-31 18:25:09.942,actual=green,82.0,107.0
2019-03-31 18:25:10.442,actual=green,84.0,109.0
2019-03-31 18:25:10.942,actual=green,85.0,108.0
2019-03-31 18:25:11.442,actual=green,88.0,105.0
2019-03-31 18:25:11.942,actual=green,93.0,110.0
2019-03-31 18:25:12.442,actual=green,89.0,112.0
2019-03-31 18:25:12.942,actual=green,93.0,108.0
2019-03-31 18:25:13.442,actual=green,89.0,112.0
2019-03-31 18:25:13.942,actual=green,91.0,109.0
2019-03-31 18:25:14.442,actual=green,87.0,112.0
2019-03-31 18:25:14.942,actual=green,83.0,116.0
2019-03-31 18:25:15.442,actual=green,79.0,115.0
2019-03-31 18:25:15.942,actual=green,76.0,114.0
2019-03-31 18:25:16.442,actual=green,73.0,110.0
2019-03-31 18:25:16.942,actual=green,68.0,107.0
2019-03-31 18:25:17.442,actual=green,70.0,112.0
2019-03-31 18:25:17.942,actual=green,73.0,114.0
2019-03-31 18:25:18.442,actual=green,78.0,119.0
2019-03-31 18:25:18.942,actual=green,82.0,117.0
2019-03-31 18:25:19.442,actual=green,77.0,121.0
2019-03-31 18:25:19.942,actual=green,76.0,122.0
2019-03-31 18:25:20.442,actual=green,75.0,127.0
2019-03-31 18:25:20.942,actual=green,73.0,126.0
2019-03-31 18:25:21.442,actual=green,77.0,121.0
2019-03-31 18:25:21.942,actual=green,74.0,124.0
2019-03-31 18:25:22.442,actual=green,71.0,119.0
2019-03-31 18:25:22.942,actual=green,66.0,122.0
2019-03-31 18:25:23.442,actual=green,63.0,127.0
2019-03-31 18:25:23.942,actual=green,58.0,122.0
2019-03-31 18:25:24.442,actual=green,53.0,125.0
2019-03-31 18:25:24.942,actual=green,55.0,121.0
2019-03-31 18:25:25.442,actual=green,50.0,126.0
