time,radius,x,y
0,radius=0.644135,0.8941154,0.40501106
0,radius=0.82958186,0.2755986,0.23528206
1,radius=0.6877331,0.8712885,0.81855863
1,radius=0.5221214,0.50184673,0.78219634
2,radius=0.746757,0.08331144,0.31601846
2,radius=0.5937929,0.49263424,0.49147522
3,radius=0.55756146,0.98332,0.916268
3,radius=0.060661554,0.53688526,0.058579147
4,radius=0.7868099,0.25386018,0.25230056
4,radius=0.6679251,0.27519262,0.1438843
5,radius=0.06117761,0.14739919,0.17650151
5,radius=0.22403806,0.78954625,0.7523274
6,radius=0.8974775,0.49532217,0.521896
6,radius=0.86416173,0.32130963,0.84440815
7,radius=0.60377365,0.21817052,0.6056896
7,radius=0.11875588,0.78013086,0.35703647
8,radius=0.8955222,0.16360545,0.09485674
8,radius=0.49536765,0.21344239,0.3825674
9,radius=0.46617103,0.085793376,0.7240912
9,radius=0.5019588,0.45691985,0.5404823
10,radius=0.3815986,0.5379263,0.2078709
10,radius=0.25783306,0.34930617,0.49281847
11,radius=0.8769846,0.15347517,0.041749537
11,radius=0.978201,0.6771704,0.42762148
12,radius=0.48477137,0.71000296,0.72061545
12,radius=0.31296307,0.15477347,0.52868426
13,radius=0.44287884,0.9950892,0.7948316
13,radius=0.7074386,0.8759664,0.083088756
14,radius=0.024457157,0.056212902,0.35845405
14,radius=0.1539517,0.81658757,0.8372559
15,radius=0.43251246,0.83827496,0.27397335
15,radius=0.21063751,0.04560685,0.46727133
16,radius=0.86871177,0.9417986,0.8378732
16,radius=0.641924,0.4502806,0.36325818
17,radius=0.9150543,0.49375147,0.08178657
17,radius=0.7015225,0.7559727,0.3397292
18,radius=0.18400228,0.50194436,0.8229733
18,radius=0.8668219,0.88904417,0.084445775
19,radius=0.6709817,0.83216894,0.21232074
19,radius=0.1507855,0.5418511,0.8254849
20,radius=0.76248026,0.83943105,0.57665586
20,radius=0.87008756,0.9655296,0.7578259
21,radius=0.38061678,0.06568551,0.3871423
21,radius=0.42956424,0.35505897,0.09669912
22,radius=0.5723988,0.6995754,0.49547404
22,radius=0.22235698,0.14039207,0.30507815
23,radius=0.5821152,0.4521128,0.6227328
23,radius=0.3099202,0.007436335,0.20419449
24,radius=0.96182007,0.28256363,0.7247924
24,radius=0.019014895,0.9816577,0.89900136
25,radius=0.7415577,0.95705754,0.44735384
25,radius=0.78233004,0.94126546,0.80673164
26,radius=0.6701775,0.28092772,0.08714008
26,radius=0.12521017,0.93842673,0.22292441
27,radius=0.88483167,0.65161747,0.2945385
27,radius=0.86218345,0.19148618,5.710125E-5
28,radius=0.6664906,0.52904063,0.5786658
28,radius=0.90205437,0.37882614,0.97652173
29,radius=0.54591894,0.5398769,0.27758032
29,radius=0.569617,0.82678205,0.99710065
30,radius=0.6971327,0.3858028,0.17532688
30,radius=0.71174085,0.23864692,0.7408207
31,radius=0.22777903,0.50141764,0.88837576
31,radius=0.25627732,0.34203184,0.32251918
32,radius=0.13078588,0.5546689,0.25562882
32,radius=0.27985978,0.34586668,0.84848094
33,radius=0.20595741,0.344603,0.15293175
33,radius=0.25438595,0.60183096,0.92148584
34,radius=0.6079978,0.4671954,0.008962929
34,radius=0.7364164,0.82070386,0.79297835
35,radius=0.97001714,0.6361558,0.7032175
35,radius=0.4850452,0.05280596,0.9881957
36,radius=0.97916377,0.4317596,0.15479648
36,radius=0.6024187,0.96537304,0.4138009
37,radius=0.49732107,0.9891123,0.14701837
37,radius=0.33771104,0.7412752,0.38449186
38,radius=0.73007816,0.7239534,0.37550545
38,radius=0.29744422,0.17718607,0.7387097
39,radius=0.67579156,0.97062665,0.07539827
39,radius=0.9488976,0.6475325,0.23602754
40,radius=0.6404872,0.5677824,0.24703687
40,radius=0.8851597,0.16768032,0.6936439
41,radius=0.98239195,0.09158409,0.7166821
41,radius=0.66598517,0.9616774,0.57762957
42,radius=0.12075949,0.3177517,0.62266004
42,radius=0.4568659,0.48619777,0.74387205
43,radius=0.24157238,0.2710442,0.39416593
43,radius=0.717645,0.7570117,0.1482411
44,radius=0.999739,0.48952067,0.07545179
44,radius=0.37047237,0.031672716,0.6940006
45,radius=0.7336732,0.96637297,0.5535741
45,radius=0.28537834,0.39892215,0.47187126
46,radius=0.3685192,0.24152422,0.14994371
46,radius=0.38442552,0.7273509,0.67315483
47,radius=0.37136704,0.9039714,0.4635573
47,radius=0.58811474,0.7242802,0.7809087
48,radius=0.8839648,0.3268363,0.97251815
48,radius=0.30835366,0.9589745,0.84424394
49,radius=0.74967396,0.5254729,0.9889931
49,radius=0.31966925,0.43230104,0.32487655
