time,radius,x,y
0,radius=0.39384067,0.41116416,0.626297
0,radius=0.23148984,0.10818106,0.9729059
0,radius=0.3619634,0.1392898,0.40823418
0,radius=0.8597948,0.6882822,0.52182305
0,radius=0.68806636,0.52637196,0.83481765
0,radius=0.96156013,0.007875621,0.5981158
0,radius=0.63331866,0.5762759,0.16521621
0,radius=0.12825048,0.5250368,0.48908406
1,radius=0.91285235,0.7627255,0.23625827
1,radius=0.24546796,0.68068737,0.19628668
1,radius=0.6734296,0.60518634,0.4846611
1,radius=0.083982944,0.8721256,0.2144453
1,radius=0.07552701,0.20547563,0.7468333
1,radius=0.65258455,0.27254468,0.5453567
1,radius=0.06550425,0.5203943,0.9937088
1,radius=0.71964604,0.60252815,0.5611502
2,radius=0.8864454,0.2365421,0.9221096
2,radius=0.8860787,0.021116078,0.0762825
2,radius=0.1981538,0.50375736,0.54770005
2,radius=0.46999824,0.99587524,0.9546617
2,radius=0.9930659,0.4777795,0.8907281
2,radius=0.23678952,0.7529043,0.26074028
2,radius=0.42828542,0.065610826,0.21766675
2,radius=0.5902464,0.600165,0.574317
3,radius=0.59630764,0.18476045,0.6324371
3,radius=0.57994765,0.7391029,0.26993692
3,radius=0.98254234,0.45424318,0.2542823
3,radius=0.37141573,0.5966414,0.812156
3,radius=0.13326132,0.662164,0.086992025
3,radius=0.59308064,0.27750045,0.92472214
3,radius=0.35317254,0.7685144,0.11904371
3,radius=0.119424224,0.011903942,0.22405767
4,radius=0.5777253,0.86821777,0.38216758
4,radius=0.24405849,0.7609637,0.569287
4,radius=0.5301111,0.24991804,0.59831816
4,radius=0.7283572,0.31881833,0.019088268
4,radius=0.1516701,0.42773503,0.43184066
4,radius=0.32870036,0.2725581,0.30668026
4,radius=0.8295407,0.38141495,0.67411274
4,radius=0.49389547,0.8044813,0.99731326
5,radius=0.31291634,0.09590906,0.9808492
5,radius=0.54774165,0.7105131,0.53963023
5,radius=0.11548084,0.37144256,0.30218697
5,radius=0.7555847,0.7661657,0.78993875
5,radius=0.11096668,0.25763553,0.33541936
5,radius=0.4020952,0.20719743,0.38856024
5,radius=0.46882725,0.22028148,0.5938658
5,radius=0.082246065,0.671257,0.4031523
6,radius=0.3439027,0.8063341,0.70771843
6,radius=0.36586112,0.5463542,0.20942402
6,radius=0.3357749,0.33357215,0.69937
6,radius=0.80237633,0.9051586,0.37980813
6,radius=0.09119499,0.9699206,0.36351573
6,radius=0.67670864,0.67600745,0.96209675
6,radius=0.8350186,0.5061357,0.42934877
6,radius=0.6639221,0.6574721,0.6227964
