time,radius,x,y
0,radius=0.5304613,0.7533098,0.39385217
0,radius=0.56337935,0.28498238,0.87529045
0,radius=0.8616869,0.9958751,0.7527095
0,radius=0.41834062,0.76430285,0.12753981
0,radius=0.20657521,0.82142097,0.2671911
0,radius=0.21876407,0.87135303,0.2372036
0,radius=0.7371466,0.57036984,0.6392128
0,radius=0.63931453,0.8282699,0.58737135
0,radius=0.0051277876,0.43225706,0.066625476
0,radius=0.20818418,0.2647212,0.44665754
0,radius=0.9292932,0.4352095,0.114494085
0,radius=0.07001519,0.8643299,0.7028646
0,radius=0.12030929,0.6392865,0.30573457
0,radius=0.2541452,0.7161142,0.5409597
0,radius=0.3700552,0.69658256,0.118402004
0,radius=0.86447066,0.08756524,0.43099564
0,radius=0.71567863,0.02669841,0.120402515
0,radius=0.7278836,0.55471045,0.82280576
0,radius=0.49272692,0.23089486,0.7006629
0,radius=0.6089214,0.83448946,0.5369513
0,radius=0.7161405,0.23529595,0.59210086
0,radius=0.008783817,0.76995164,0.32792383
0,radius=0.048053086,0.966504,0.95112073
0,radius=0.16864854,0.41992903,0.05713582
0,radius=0.99386424,0.80803585,0.7703875
0,radius=0.66965556,0.597154,0.9245
0,radius=0.58743286,0.3310364,0.8959715
0,radius=0.03311956,0.21297652,0.74721116
0,radius=0.97387695,0.86723804,0.47241437
0,radius=0.53099483,0.9271923,0.47736418
0,radius=0.9443435,0.25424385,0.24463439
0,radius=0.8902788,0.0039126277,0.6693731
0,radius=0.76301104,0.07493025,0.66255426
0,radius=0.23943782,0.3255561,0.70210433
0,radius=0.038528502,0.29807383,0.3962593
0,radius=0.44656444,0.14497548,0.6105617
0,radius=0.17834687,0.7510607,0.3338191
0,radius=0.03313893,0.42075467,0.39212602
0,radius=0.83430237,0.65557194,0.7614793
0,radius=0.40186274,0.16420239,0.87616664
0,radius=0.6051939,0.9050375,0.9505345
0,radius=0.49122512,0.63420415,0.92694473
0,radius=0.69610256,0.1029641,0.84204656
0,radius=0.86799204,0.98049414,0.059715927
0,radius=0.70877004,0.98224527,0.34160358
0,radius=0.1666084,0.8227987,0.14881879
0,radius=0.88964194,0.5487347,0.9284717
0,radius=0.4997061,0.44367027,0.1450988
0,radius=0.33874696,0.031230867,0.42536336
0,radius=0.2714767,0.7126207,0.34771287
0,radius=0.81103253,0.7530399,0.9356445
0,radius=0.7872479,0.43655986,0.11051279
0,radius=0.85426074,0.68589944,0.8171198
0,radius=0.83230233,0.7608532,0.7264074
0,radius=0.22129399,0.60306937,0.18242586
0,radius=0.67218286,0.004969597,0.5383677
0,radius=0.83325636,0.24144799,0.5324022
0,radius=0.6251435,0.70796514,0.06759232
0,radius=0.39882594,0.14706922,0.6390399
0,radius=0.21096951,0.020403147,0.41801494
0,radius=0.16043693,0.32840025,0.013178885
0,radius=0.520701,0.9105482,0.6166444
0,radius=0.57369125,0.39309853,0.7932982
0,radius=0.9752581,0.37128872,0.7929726
0,radius=0.68077713,0.3858739,0.22792363
0,radius=0.7497134,0.08559531,0.3854863
0,radius=0.19777596,0.75904727,0.22266263
0,radius=0.28035605,0.05966711,0.44522816
0,radius=0.50058585,0.6673619,0.833647
0,radius=0.78990686,0.28018075,0.11684936
0,radius=0.7537916,0.4681738,0.77519965
0,radius=0.94419384,0.33716506,0.8295469
0,radius=0.07737118,0.7284886,0.33975554
0,radius=0.6823001,0.30897266,0.20116907
0,radius=0.6802654,0.17901033,0.951752
0,radius=0.85332865,0.92884636,0.73318183
0,radius=0.097064435,0.82940173,0.92775166
0,radius=0.32302928,0.10019231,0.57136244
0,radius=0.15260112,0.6388669,0.30919647
0,radius=0.13930798,0.7953002,0.0130493045
1,radius=0.85806245,0.70829463,0.6358375
1,radius=0.28128636,0.2192272,0.46705377
1,radius=0.01088959,0.81409645,0.47727275
1,radius=0.5947161,0.0579713,0.18246424
1,radius=0.4927209,0.83808964,0.5182754
1,radius=0.15370655,0.35170305,0.1755724
1,radius=0.8049256,0.26907313,0.10944927
1,radius=0.9176423,0.063067794,0.8196008
1,radius=0.4540022,0.19968092,0.7237575
1,radius=0.61003125,0.18257827,0.6336785
1,radius=0.35617048,0.85972434,0.051337004
1,radius=0.5214031,0.7454984,0.6252231
1,radius=0.92010087,0.23778325,0.6095837
1,radius=0.5596871,0.48027354,0.83849263
1,radius=0.63093066,0.38906795,0.30592668
1,radius=0.7521096,0.32787365,0.5010303
1,radius=0.5995005,0.4099524,0.165667
1,radius=0.65574205,0.17513758,0.62407357
1,radius=0.5520123,0.26138932,0.81031734
1,radius=0.4273914,0.4495843,0.463385
1,radius=0.74178976,0.3741039,0.1386261
1,radius=0.6046056,0.44203824,0.10107005
1,radius=0.68444985,0.38262868,0.81049293
1,radius=0.36257517,0.30710578,0.2949739
1,radius=0.9879362,0.06576705,0.6536186
1,radius=0.08904445,0.35710132,0.7991238
1,radius=0.8676948,0.86219263,0.14708179
1,radius=0.41179603,0.90896827,0.9596125
1,radius=0.8992,0.77086705,0.25558513
1,radius=0.74221987,0.87840456,0.5029453
1,radius=0.53278,0.82007474,0.093673766
1,radius=0.3756147,0.7392168,0.22411823
1,radius=0.7055341,0.75581,0.22605753
1,radius=0.8030409,0.29649585,0.0119841695
1,radius=0.9453885,0.54410595,0.3244524
1,radius=0.72393155,0.3898216,0.515975
1,radius=0.39897716,0.5003995,0.14945257
1,radius=0.2854147,0.16071689,0.15535265
1,radius=0.8122017,0.36369652,0.11506498
1,radius=0.98727524,0.6157811,0.96618533
1,radius=0.89899,0.17364389,0.55168825
1,radius=0.9217905,0.035886407,0.519257
1,radius=0.641854,0.32751906,0.1648367
1,radius=0.37015218,0.61569685,0.71532553
1,radius=0.19057828,0.76520973,0.8587332
1,radius=0.36992997,0.4772296,0.38916552
1,radius=0.073634684,0.6215397,0.5565513
1,radius=0.610716,0.77135354,0.62883246
1,radius=0.3099261,0.5378863,0.31494993
1,radius=0.38565922,0.94768393,0.25316638
1,radius=0.48397171,0.5283252,0.6008601
1,radius=0.059548676,0.2651816,0.41577524
1,radius=0.97554666,0.9850952,0.04928118
1,radius=0.90742046,0.33091623,0.970711
1,radius=0.5068189,0.105709314,0.32660568
1,radius=0.0692333,0.904114,0.9739962
1,radius=0.85693157,0.7827014,0.4168163
1,radius=0.42405874,0.42745852,0.9808221
1,radius=0.41031486,0.009135723,0.5284969
1,radius=0.0023873448,0.62890047,0.40311795
1,radius=0.6805056,0.82105213,0.60628664
1,radius=0.11814731,0.744105,0.03888756
1,radius=0.3563444,0.46313202,0.84406215
