time,radius,x,y
0,radius=0.11500299,0.21246523,0.70319515
0,radius=0.46833235,0.028469026,0.18492955
0,radius=0.5370761,0.91937244,0.09909177
0,radius=0.47879505,0.7788486,0.16388392
0,radius=0.77075535,0.20959067,0.5436856
0,radius=0.71986985,0.5111927,0.31358624
0,radius=0.9141822,0.88632554,0.7088331
0,radius=0.16271973,0.63071615,0.029777348
0,radius=0.62299746,0.305543,0.92144305
0,radius=0.3046134,0.17768633,0.60762435
0,radius=0.97817653,0.018779218,0.2594061
0,radius=0.133147,0.66020066,0.88165295
0,radius=0.17107159,0.37897968,0.61199015
0,radius=0.6818626,0.37127876,0.14736223
0,radius=0.8599563,0.47012377,0.5335319
0,radius=0.64328265,0.5578751,0.6371539
0,radius=0.06385124,0.7929635,0.28392112
0,radius=0.84126556,0.36620575,0.3016073
0,radius=0.7606636,0.15690273,0.5201741
0,radius=0.36827612,0.13255256,0.077320635
0,radius=0.3890165,0.035717726,0.75602955
0,radius=0.74560887,0.091946006,0.920963
0,radius=0.5512596,0.5327408,0.91295856
0,radius=0.11207056,0.2505377,0.49432653
0,radius=0.06936759,0.6566001,0.728758
0,radius=0.3749315,0.8935801,0.6529664
0,radius=0.09112567,0.38646966,0.28715116
0,radius=0.097130835,0.35087562,0.5522207
0,radius=0.26039553,0.4600854,0.5865723
0,radius=0.7079805,0.7755797,0.36789143
0,radius=0.10918009,0.40490198,0.34684294
0,radius=0.63286954,0.7812032,0.72351354
0,radius=0.123514414,0.41475266,0.55462015
0,radius=0.03461802,0.78153425,0.16269022
0,radius=0.07502937,0.82032484,0.084510505
0,radius=0.65702254,0.833442,0.9780129
0,radius=0.64393055,0.40346628,0.5347087
0,radius=0.39284682,0.22770733,0.56710804
0,radius=0.7459644,0.6924962,0.036204815
0,radius=0.8203743,0.34616774,0.8434678
0,radius=0.11191583,0.9345343,0.12836349
0,radius=0.8551256,0.47793996,0.7005199
0,radius=0.12241477,0.20882285,0.54433656
0,radius=0.11977208,0.77344114,0.5000306
0,radius=0.6914417,0.57291484,0.19902015
0,radius=0.08594453,0.9745977,0.4324252
0,radius=0.97842,0.57546014,0.41282773
0,radius=0.92983097,0.62493783,0.72890806
0,radius=0.97030944,0.87868154,0.3361287
0,radius=0.58845615,0.83768916,0.46758026
1,radius=0.08637524,0.16333604,0.0146410465
1,radius=0.2688015,0.8975621,0.63511646
1,radius=0.47738433,0.13982236,0.72747076
1,radius=0.059138298,0.5995524,0.43500125
1,radius=0.6596581,0.6373136,0.079930305
1,radius=0.33066273,0.63706744,0.71970356
1,radius=0.950494,0.070385456,0.40909576
1,radius=0.11446941,0.13352096,0.8973826
1,radius=0.65127754,0.6532066,0.49057353
1,radius=0.6751353,0.14394242,0.7944335
1,radius=0.0062140226,0.7844658,0.73094064
1,radius=0.2822637,0.3204065,0.17946029
1,radius=0.74640644,0.9836803,0.5507205
1,radius=0.008917272,0.4826805,0.19482315
1,radius=0.27262616,0.2543428,0.1901955
1,radius=0.88840985,0.15042573,0.080604255
1,radius=0.74272645,0.5405493,0.23290128
1,radius=0.3624794,0.98942554,0.56113726
1,radius=0.4998896,0.35140806,0.5471378
1,radius=0.708717,0.22517174,0.0343135
1,radius=0.28938043,0.7147456,0.9168531
1,radius=0.15356988,0.5669525,0.20585966
1,radius=0.521509,0.4878416,0.582429
1,radius=0.69382745,0.698599,0.112024724
1,radius=0.7479162,0.21489137,0.9559534
1,radius=0.37591535,0.021664321,0.2222417
1,radius=0.4075864,0.071186185,0.46182686
1,radius=0.6621486,0.6968752,0.1410504
1,radius=0.7003369,0.1561647,0.99959487
1,radius=0.66355354,0.95016706,0.744776
1,radius=0.9638516,0.18529212,0.066913724
1,radius=0.36351562,0.39218962,0.6656824
1,radius=0.22057599,0.7781051,0.56274766
1,radius=0.8214769,0.8535993,0.02348739
1,radius=0.41213566,0.93646836,0.8428467
1,radius=0.91115147,0.6566347,0.7622681
1,radius=0.5104167,0.094017744,0.057460368
1,radius=0.9133633,0.28351802,0.7280852
1,radius=0.89037335,0.724633,0.15745026
1,radius=0.43038297,0.6631846,0.35405135
1,radius=0.516762,0.004501581,0.84313625
1,radius=0.57996684,0.49461347,0.054703295
1,radius=0.8693124,0.25428224,0.6541514
1,radius=0.91954976,0.7958383,0.36386126
1,radius=0.94131017,0.37399566,0.2554893
1,radius=0.6469689,0.24702346,0.8384508
1,radius=0.96938944,0.37454855,0.51761645
1,radius=0.7235148,0.12881064,0.2933221
1,radius=0.7325416,0.3746646,0.71487963
1,radius=0.53534776,0.62411886,0.47247308
2,radius=0.58029914,0.7693914,0.39343268
2,radius=0.434704,0.75244445,0.20673054
2,radius=0.26360965,0.30382007,0.8874641
2,radius=0.36042672,0.69381666,0.7105165
2,radius=0.65563756,0.79796565,0.43577367
2,radius=0.3704769,0.35859847,0.15463924
2,radius=0.92695487,0.3401993,0.83777666
2,radius=0.16767305,0.8493309,0.06580961
2,radius=0.3799224,0.22283179,0.37994117
2,radius=0.28047162,0.56799704,0.2549991
2,radius=0.81372994,0.8365738,0.93528205
2,radius=0.17235619,0.22973216,0.02216363
2,radius=0.36327678,0.6447465,0.32505006
2,radius=0.028262377,0.3622195,0.33033973
2,radius=0.9073241,0.5760102,0.45737314
2,radius=0.89614326,0.2188847,0.7419869
2,radius=0.7232058,0.5182364,0.8709234
2,radius=0.33905417,0.23802537,0.6934204
2,radius=0.7534127,0.8118496,0.6283707
2,radius=0.9375086,0.6188301,0.124402165
2,radius=0.5185434,0.33458698,0.8308185
2,radius=0.07666737,0.2571969,0.49972236
2,radius=0.9416982,0.5521202,0.7491599
2,radius=0.65389025,0.68729085,0.42556775
2,radius=0.14402819,0.5290646,0.7390326
2,radius=0.94534,0.9190295,0.33380437
2,radius=0.16015315,0.9338961,0.015873969
2,radius=0.14126831,0.20622784,0.85319036
