time,radius,x,y
0,radius=0.14712572,0.6912814,0.5810528
0,radius=0.18836898,0.7914912,0.397947
0,radius=0.3697275,0.385561,0.36742818
0,radius=0.4252627,0.12705028,0.7065217
0,radius=0.5166361,0.7117213,0.29135615
1,radius=0.36549503,0.44002068,0.7648286
1,radius=0.80618614,0.43999863,0.8608587
1,radius=0.308402,0.90930784,0.11287969
1,radius=0.5951392,0.20613253,0.87121826
1,radius=0.6139948,0.43269616,0.14143759
2,radius=0.54224205,0.60506064,0.559563
2,radius=0.8365624,0.7938814,0.8131299
2,radius=0.35501665,0.3373779,0.42322737
2,radius=0.84934175,0.31953418,0.8331044
2,radius=0.34621692,0.7299372,0.17443478
3,radius=0.89053255,0.5512133,0.80542034
3,radius=0.45444453,0.4354254,0.37885886
3,radius=0.9511325,0.8093262,0.60920227
3,radius=0.5713714,0.07676053,0.007377565
3,radius=0.68812287,0.5662045,0.2760991
4,radius=0.29823148,0.727005,0.6410646
4,radius=0.72755486,0.78042066,0.34010017
4,radius=0.961845,0.88718057,0.6558279
4,radius=0.11234927,0.66992545,0.9817427
4,radius=0.30673045,0.8091492,0.56483084
5,radius=0.64189565,0.8650397,0.06418997
5,radius=0.97712994,0.8843959,0.8991945
5,radius=0.8002597,0.5858182,0.4102093
5,radius=0.5640115,0.10578114,0.1701023
5,radius=0.605729,0.29723912,0.608528
6,radius=0.5211479,0.7161203,0.7602322
6,radius=0.92105144,0.88952726,0.72647196
6,radius=0.30745953,0.66699237,0.31154364
6,radius=0.38851702,0.069877565,0.17084992
6,radius=0.2424503,0.34049654,0.7772215
7,radius=0.514867,0.54492515,0.71807545
7,radius=0.17139727,0.41249216,0.205105
7,radius=0.37974757,0.21986067,0.55581194
7,radius=0.19772816,0.017695606,0.71109134
7,radius=0.22232676,0.63619417,0.32602745
8,radius=0.047572196,0.03405553,0.5470003
8,radius=0.47116572,0.5990304,0.8053894
8,radius=0.13480377,0.25779027,0.9594397
8,radius=0.124549985,0.599301,0.8071592
8,radius=0.2898537,0.02830112,0.22043365
9,radius=0.60018355,0.2890675,0.8883157
9,radius=0.4378026,0.4222778,0.6203781
9,radius=0.0058469772,0.0060766935,0.88956857
9,radius=0.74846864,0.79300064,0.361067
9,radius=0.8506654,0.031580925,0.04078996
10,radius=0.0023790002,0.5860642,0.7011406
10,radius=0.48178363,0.96651256,0.4006992
10,radius=0.51197666,0.48438781,0.730308
10,radius=0.8916586,0.43687755,0.5509867
10,radius=0.7997871,0.7935202,0.3651176
11,radius=0.23428965,0.63596106,0.6737584
11,radius=0.93649244,0.025183916,0.12878454
11,radius=0.8558483,0.11463803,0.9897495
11,radius=0.5012248,0.7368924,0.68956494
11,radius=0.8295307,0.8501124,0.123438835
12,radius=0.6465788,0.6913985,0.65591574
12,radius=0.8831212,0.38315582,0.082488656
12,radius=0.23240972,0.18097794,0.37734687
12,radius=0.8752578,0.74897486,0.8798683
12,radius=0.5365889,0.9716686,0.8843553
13,radius=0.69202733,0.96933085,0.8714433
13,radius=0.05262649,0.5866704,0.49642462
13,radius=0.5291431,0.4767859,0.3141551
13,radius=0.38554966,0.95024985,0.048779428
13,radius=0.5372987,0.38217825,0.74095803
14,radius=0.57690144,0.52338403,0.16181773
14,radius=0.4431361,0.79169875,0.34068972
14,radius=0.373437,0.049069047,0.3028701
14,radius=0.6502577,0.28631467,0.64941734
14,radius=0.65047204,0.34793186,0.57337934
15,radius=0.7937215,0.8100189,0.36876345
15,radius=0.26211798,0.4942541,0.5267873
15,radius=0.138264,0.779272,0.09560382
15,radius=0.19615728,0.33111888,0.2621591
15,radius=0.7716832,0.9918626,0.88013434
16,radius=0.3366561,0.2983179,0.14482868
16,radius=0.6688205,0.9547746,0.4928577
16,radius=0.5709875,0.8749144,0.03839898
16,radius=0.01924181,0.08053595,0.9737693
16,radius=0.40926367,0.8451433,0.33715957
17,radius=0.3487422,0.31138402,0.16781461
17,radius=0.051167488,0.42189354,0.56908256
17,radius=0.96036613,0.5903585,0.034543514
17,radius=0.72946054,0.20601636,0.17845708
17,radius=0.9213496,0.118961275,0.7022929
18,radius=0.7133602,0.81068784,0.8233638
18,radius=0.5442512,0.22563136,0.498667
18,radius=0.55726707,0.43432665,0.39391124
18,radius=0.8658068,0.30895615,0.027723074
18,radius=0.21964645,0.6219312,0.2802438
19,radius=0.12709564,0.60789275,0.06605607
19,radius=0.33810896,0.9862001,0.88167256
19,radius=0.7525869,0.7149531,0.95047194
19,radius=0.89111775,0.08975279,0.55284756
19,radius=0.70340675,0.16902113,0.47001272
20,radius=0.6796056,0.4146185,0.5507421
20,radius=0.01635933,0.63522625,0.73591906
20,radius=0.5381977,0.2815504,0.18193406
20,radius=0.72709906,0.68516076,0.3563246
20,radius=0.22161299,0.2685448,0.5218193
21,radius=0.85262984,0.42423272,0.92482823
21,radius=0.89066535,0.22894883,0.83758473
21,radius=0.5190015,0.6806548,0.6012405
21,radius=0.5995658,0.9339534,0.0293957
21,radius=0.42289412,0.9078669,0.522231
22,radius=0.5188256,0.6928373,0.4275335
22,radius=0.27558976,0.119672894,0.9737502
22,radius=0.1714828,0.86529636,0.9738973
22,radius=0.96698415,0.9417576,0.7750128
22,radius=0.35356963,0.8496768,0.79532254
23,radius=0.5823222,0.85503966,0.47323424
23,radius=0.37488145,0.95400715,0.9449187
23,radius=0.6677716,0.09526914,0.20740604
23,radius=0.9706467,0.7275971,0.5568493
23,radius=0.56939626,0.27035826,0.70346564
24,radius=0.21188933,0.16352218,0.2968735
24,radius=0.06846893,0.961357,0.51341575
24,radius=0.47516966,0.17160892,0.5967875
24,radius=0.80803007,0.102811456,0.73045146
24,radius=0.8740813,0.42941886,0.79854244
25,radius=0.74731743,0.14900285,0.4379136
25,radius=0.2918964,0.37984896,0.7185234
25,radius=0.2422669,0.13543856,0.7879673
25,radius=0.17753434,0.39678133,0.195656
25,radius=0.7801446,0.3317036,0.6518802
26,radius=0.9519079,0.061334252,0.9061936
26,radius=0.22730756,0.9137836,0.83552784
26,radius=0.5393487,0.875582,0.39847094
26,radius=0.35739195,0.05762267,0.43386883
26,radius=0.026351392,0.08618802,0.48960155
27,radius=0.8974179,0.6108367,0.46170455
27,radius=0.0037965775,0.32584685,0.41795713
27,radius=0.27252066,0.5110568,0.92405033
27,radius=0.37201744,0.31694734,0.6992141
27,radius=0.38442075,0.3154418,0.8620278
28,radius=0.88726395,0.95137405,0.20655572
28,radius=0.0912087,0.97459465,0.6538898
28,radius=0.41625583,0.2057299,0.29296416
28,radius=0.6599174,0.07545543,0.81216794
28,radius=0.12515038,0.7531335,0.8035433
29,radius=0.7512561,0.8421656,0.9367633
29,radius=0.5519609,0.78595376,0.18445903
29,radius=0.26652932,0.8178597,0.5209355
29,radius=0.6558488,0.6494799,0.22737199
29,radius=0.9759575,0.8669926,0.6889956
30,radius=0.03441018,0.03489214,0.8968761
30,radius=0.90536237,0.6188778,0.59744453
30,radius=0.06163442,0.8253384,0.6073545
30,radius=0.566175,0.049786508,0.28815562
30,radius=0.02954626,0.13039136,0.83136266
31,radius=0.79189366,0.5850378,0.35095286
31,radius=0.9845108,0.69995046,0.38082117
31,radius=0.7967648,0.9413192,0.64658946
31,radius=0.061680496,0.9976059,0.646199
31,radius=0.5536277,0.11637378,0.650886
32,radius=0.17245787,0.9820215,0.91601634
32,radius=0.37062812,0.89480543,0.05962813
32,radius=0.9936987,0.98713213,0.03364551
32,radius=0.86129683,0.585539,0.031479716
32,radius=0.65858763,0.32351297,0.19173801
33,radius=0.5792051,0.087902606,0.19584614
33,radius=0.13191754,0.083565354,0.7527233
33,radius=0.24049169,0.662692,0.45591414
