time,radius,x,y
0,radius=0.9076133,0.50832963,0.76151747
0,radius=0.45484865,0.4507513,0.5146079
0,radius=0.45535994,0.6624752,0.995425
0,radius=0.35142863,0.6462573,0.1940239
1,radius=0.29476827,0.89205575,0.49900854
1,radius=0.2013411,0.4477092,0.11247009
1,radius=0.7201588,0.3182885,0.5875872
1,radius=0.63118744,0.3934117,0.32106805
2,radius=0.2298522,0.053675473,0.5033938
2,radius=0.38060272,0.6770468,0.21219754
2,radius=0.96192086,0.5544226,0.8968161
2,radius=0.8375356,0.06469792,0.13702619
3,radius=0.12696058,0.46402854,0.5982346
3,radius=0.12156695,0.450212,0.16300023
3,radius=0.055841148,0.43406636,0.6412238
3,radius=0.39968103,0.4430259,0.13798952
4,radius=0.90379053,0.887331,0.9810768
4,radius=0.9191971,0.4582259,0.14396983
4,radius=0.7342445,0.23229975,0.77233946
4,radius=0.39187962,0.038271904,0.5975848
5,radius=0.63590235,0.19248056,0.68922806
5,radius=0.9038605,0.31563383,0.812489
5,radius=0.7526577,0.60114354,0.39879322
5,radius=0.5138747,0.57090116,0.15327656
6,radius=0.79159766,0.27716476,0.12774676
6,radius=0.7167889,0.0033499002,0.8871661
6,radius=0.12918878,0.88027513,0.39688897
6,radius=0.55743724,0.17850226,0.33856654
7,radius=0.12253398,0.797713,0.608003
7,radius=0.7674869,0.12682617,0.3785329
7,radius=0.98583806,0.5050574,0.63863254
7,radius=0.3806516,0.35750896,0.8055498
8,radius=0.73881584,0.6234723,0.28072244
8,radius=0.53568214,0.3206017,0.5956762
8,radius=0.5797598,0.4901079,0.9607733
8,radius=0.94675404,0.30306387,0.0554533
9,radius=0.120915234,0.91534996,0.80561024
9,radius=0.65891516,0.23495579,0.45593518
9,radius=0.82710016,0.806948,0.8897807
9,radius=0.43480724,0.14308405,0.023972273
10,radius=0.7076814,0.12256503,0.99790037
10,radius=0.33132517,0.4967029,0.26963115
10,radius=0.98334235,0.14900154,0.17006218
10,radius=0.97482693,0.2423209,0.92989177
11,radius=0.68888086,0.6324693,0.30851704
11,radius=0.738166,0.8122032,0.37164056
11,radius=0.9946516,0.4914214,0.263371
11,radius=0.16627741,0.94777703,0.20909584
12,radius=0.13976383,0.97417486,0.006284237
12,radius=0.014917135,0.810638,0.7320844
12,radius=0.9568447,0.46204168,0.44842285
12,radius=0.23231715,0.3382343,0.7117314
13,radius=0.88569486,0.59466493,0.49343032
13,radius=0.9229506,0.21387309,0.78685856
13,radius=0.37060642,0.7131099,0.48053706
13,radius=0.61341655,0.63643134,0.18267655
14,radius=0.6421665,0.4577964,0.65944314
14,radius=0.5465663,0.3897485,0.6871226
14,radius=0.62744254,0.107453346,0.64350075
14,radius=0.48266882,0.3796894,0.45270503
15,radius=0.54181516,0.5859823,0.869896
15,radius=0.19159144,0.38420045,0.08573842
15,radius=0.055206478,0.5630084,0.8037681
15,radius=0.5284417,0.44052267,0.20781785
16,radius=0.6746267,0.04495579,0.20860326
16,radius=0.3551196,0.9778332,0.6358016
16,radius=0.34522223,0.25510472,0.11797935
16,radius=0.35403442,0.27005875,0.6596567
17,radius=0.3078736,0.3316996,0.12653929
17,radius=0.2495268,0.9719089,0.21929067
17,radius=0.62198097,0.060379386,0.66535914
17,radius=0.708895,0.4089483,0.09298867
18,radius=0.34699762,0.277986,0.2661509
18,radius=0.81712025,0.7473792,0.9622655
18,radius=0.9832826,0.29078865,0.5108551
18,radius=0.9806136,0.40530455,0.6533568
19,radius=0.7709131,0.06367415,0.04255736
19,radius=0.5022559,0.48646897,0.06847358
19,radius=0.8116967,0.43548036,0.7649877
19,radius=0.021870017,0.41841525,0.8636761
20,radius=0.95543766,0.052235007,0.50772446
20,radius=0.7814956,0.5986635,0.56857026
20,radius=0.19232166,0.1026988,0.20763397
20,radius=0.9943053,0.61426586,0.31870818
21,radius=0.07561082,0.035037816,0.31964064
21,radius=0.86707336,0.832777,0.63236135
21,radius=0.5697017,0.60631,0.5238
21,radius=0.38273227,0.023738801,0.30410576
22,radius=0.4870956,0.9946257,0.28000987
22,radius=0.078673065,0.9540798,0.68361557
22,radius=0.14576614,0.16353315,0.33510548
22,radius=0.19589227,0.8973333,0.287598
23,radius=0.6547195,0.55987024,0.49624056
23,radius=0.3890733,0.012518883,0.67506504
23,radius=0.50647104,0.6958783,0.3203718
23,radius=0.0625031,0.044740558,0.23369366
24,radius=0.51237726,0.57295823,0.061249197
24,radius=0.64408344,0.96613663,0.7547099
24,radius=0.6120555,0.48875892,0.19221193
24,radius=0.49541187,0.78725815,0.29056782
25,radius=0.9930386,0.40606868,0.8327089
25,radius=0.40332037,0.5675975,0.04512793
25,radius=0.09200817,0.22858077,0.38549453
25,radius=0.54596686,0.5809072,0.1972782
26,radius=0.23532641,0.50232005,0.56804615
26,radius=0.6936468,0.7940679,0.30391067
26,radius=0.27644348,0.032007277,0.058337867
26,radius=0.19290274,0.69698274,0.7657481
27,radius=0.32128114,0.28696424,0.82049197
27,radius=0.7864154,0.91933554,0.710365
27,radius=0.70486134,0.66116726,0.29605198
27,radius=0.1774255,0.4470303,0.9731182
28,radius=0.5680265,0.48184556,0.8156433
28,radius=0.32962704,0.8721473,0.51516587
28,radius=0.45764464,0.26849002,0.49234837
28,radius=0.73735255,0.07642746,0.058350623
29,radius=0.44269723,0.8583188,0.6033777
29,radius=0.6335853,0.039944172,0.8987647
29,radius=0.9839901,0.04234612,0.027025104
29,radius=0.7906411,0.3245135,0.06812358
30,radius=0.4210021,0.23324513,0.4006744
30,radius=0.50742155,0.06898242,0.508416
30,radius=0.6048075,0.63768196,0.5425509
30,radius=0.7460833,0.83003455,0.59985036
31,radius=0.43566775,0.92353994,0.4126444
31,radius=0.6060257,0.45910627,0.9536012
31,radius=0.11538792,0.20642632,0.28699625
31,radius=0.09342033,0.47992337,0.17971468
32,radius=0.38476145,0.4797362,0.9723778
32,radius=0.44965804,0.36927283,0.8981347
32,radius=0.34551275,0.40848845,0.91673213
32,radius=0.81267816,0.27938902,0.7990707
33,radius=0.51157844,0.8709328,0.17291498
33,radius=0.87009996,0.675269,0.43515563
33,radius=0.082311094,0.37587863,0.4576165
33,radius=0.13822055,0.4671805,0.5735481
34,radius=0.3080731,0.675899,0.77991444
34,radius=0.23172683,0.51237273,0.32131934
34,radius=0.9529148,0.42093813,0.13882917
34,radius=0.91592336,0.74225146,0.04666066
35,radius=0.54782593,0.7891125,0.056305587
35,radius=0.20952892,0.7064692,0.25859928
35,radius=0.6247316,0.49312705,0.019370437
35,radius=0.3536573,0.8582593,0.52865446
36,radius=0.5741697,0.28181076,0.11866099
36,radius=0.38906717,0.77050555,0.75639844
36,radius=0.50640595,0.097084045,0.56479055
36,radius=0.62270904,0.67421895,0.41605848
37,radius=0.8068742,0.49863422,0.51368755
37,radius=0.13273168,0.295865,0.8279818
37,radius=0.341362,0.43642575,0.95863086
37,radius=0.8291138,0.38836128,0.62162715
38,radius=0.4514326,0.53442377,0.7038812
38,radius=0.6055345,0.7762074,0.79680943
38,radius=0.029917657,0.291959,0.18380195
38,radius=0.47941762,0.013397694,0.2034378
39,radius=0.3597809,0.21278304,0.58984774
39,radius=0.13020676,0.2081784,0.20550859
39,radius=0.7253677,0.6949948,0.5538677
39,radius=0.4170969,0.12644517,0.3742652
40,radius=0.9344535,0.52775764,0.28126252
40,radius=0.18739921,0.77245677,0.4992954
40,radius=0.33303756,0.39457864,0.5378684
40,radius=0.38134557,0.2848974,0.6318653
41,radius=0.12015605,0.53988916,0.76001906
41,radius=0.32717305,0.532835,0.76272273
41,radius=0.4121036,0.038098395,0.34250987
41,radius=0.47825223,0.3954615,0.3054772
42,radius=0.38970375,0.20839804,0.036176264
42,radius=0.6952357,0.6888784,0.19504291
42,radius=0.679835,0.376433,0.48371267
42,radius=0.3352213,0.69593006,0.68427837
43,radius=0.64541906,0.71925586,0.58442426
43,radius=0.8327753,0.3926903,0.6039554
43,radius=0.03623712,0.89561534,0.79360974
43,radius=0.4286067,0.5384419,0.8525843
44,radius=0.65080744,0.8308449,0.9670879
44,radius=0.67220193,0.68825144,0.6300559
44,radius=0.2929098,0.11556941,0.43049473
44,radius=0.65569687,0.29062116,0.12346679
45,radius=0.6886861,0.43290812,0.9502919
45,radius=0.8039554,0.76265395,0.7648898
45,radius=0.52228457,0.38351667,0.50536203
45,radius=0.62305707,0.27445745,0.52484506
46,radius=0.07366496,0.48598748,0.5125567
46,radius=0.9122941,0.6751001,0.2665047
46,radius=0.86673474,0.8492148,0.5017275
46,radius=0.20170927,0.42107403,0.5006812
47,radius=0.24741262,0.22621107,0.2814793
47,radius=0.48428607,0.47305936,0.95636433
47,radius=0.51005644,0.3822276,0.26198328
47,radius=0.57707095,0.3580652,0.97132134
48,radius=0.4845785,0.10967195,0.9404675
48,radius=0.8468341,0.8234033,0.40886295
48,radius=0.1586991,0.00431329,0.97119147
48,radius=0.73241144,0.22661614,0.47225976
49,radius=0.7368004,0.9470803,0.47508758
49,radius=0.51156133,0.61938924,0.9069753
49,radius=0.40728968,0.59484786,0.010286629
49,radius=0.39523005,0.028805196,0.17716664
