time,radius,x,y
0,radius=0.3176059,0.004695058,0.17442071
0,radius=0.5725311,0.557755,0.2505632
0,radius=0.46125335,0.9916616,0.21536505
0,radius=0.45450413,0.601149,0.54285794
0,radius=0.7876871,0.25959355,0.5576092
0,radius=0.18399394,0.21993911,0.9610032
0,radius=0.19086415,0.33695686,0.9833055
0,radius=0.55674154,0.5699884,0.4373111
0,radius=0.41476107,0.8499704,0.64074993
0,radius=0.6529997,0.43240523,0.50478655
0,radius=0.72197443,0.8064964,0.0862484
0,radius=0.26764923,0.07612729,0.46111137
0,radius=0.24289763,0.12576503,0.41508496
0,radius=0.21792531,0.3936935,0.76003456
0,radius=0.99659574,0.73871946,0.9955312
0,radius=0.24506336,0.41826057,0.41403455
0,radius=0.5434587,0.9868146,0.19215268
0,radius=0.06401712,0.39141083,0.50742537
0,radius=0.1932413,0.55100256,0.10495609
0,radius=0.97734874,0.5179957,0.7329747
0,radius=0.28619045,0.65125763,0.7059593
0,radius=0.16038728,0.55999696,0.33312875
0,radius=0.5973724,0.25771993,0.97254276
0,radius=0.12781167,0.8953652,0.20607537
0,radius=0.9124443,0.4344957,0.23375875
0,radius=0.20273608,0.8234845,0.008265376
0,radius=0.82364416,0.3946538,0.20170581
0,radius=0.018949986,0.55681086,0.32021433
0,radius=0.44136423,0.13442373,0.41556764
0,radius=0.73032403,0.061454773,0.46421707
0,radius=0.7009489,0.857026,0.2707945
0,radius=0.6377031,0.60976356,0.5447349
0,radius=0.044068336,0.7312987,0.12109506
0,radius=0.72316533,0.22853684,0.2762577
0,radius=0.6909808,0.87762046,0.2916245
0,radius=0.20105994,0.4870034,0.9351451
0,radius=0.2793268,0.5215546,0.5499587
0,radius=0.13588458,0.27590013,0.57247525
0,radius=0.46578115,0.3777101,0.04384923
0,radius=0.9633964,0.6263038,0.4167834
0,radius=0.75266474,0.5814731,0.60161805
0,radius=0.46336818,0.46355444,0.39633757
0,radius=0.32981473,0.7451141,0.77966493
0,radius=0.54639274,0.93240094,0.71161824
0,radius=0.26672876,0.9006354,0.8069844
0,radius=0.7448261,0.6330475,0.64938444
0,radius=0.94480765,0.61839026,0.48121262
0,radius=0.3373217,0.021949232,0.9422289
0,radius=0.72357,0.42265636,0.962637
0,radius=0.44109386,0.5213842,0.9396761
0,radius=0.25494194,0.9809783,0.1617989
0,radius=0.12429035,0.08754617,0.6858045
0,radius=0.44050312,0.102329195,0.28634626
0,radius=0.51828074,0.45059747,0.5604208
0,radius=0.36703038,0.15050012,0.78423643
0,radius=0.04441619,0.73073816,0.46726334
0,radius=0.8935573,0.4388888,0.95139444
0,radius=0.35189337,0.10716462,0.75464916
0,radius=0.21284032,0.55221486,0.69962794
0,radius=0.52405673,0.61962914,0.04328698
0,radius=0.6212925,0.5138707,0.33610183
0,radius=0.85141104,0.43705195,0.70328677
0,radius=0.20352048,0.31701368,0.63406533
0,radius=0.3345968,0.6846584,0.116494596
0,radius=0.4438131,0.5726574,0.11998254
0,radius=0.47740394,0.40312004,0.85725266
0,radius=0.42071384,0.1778894,0.037158012
0,radius=0.302814,0.4335196,0.4688574
0,radius=0.78597313,0.59924924,0.39192474
0,radius=0.6724846,0.88135225,0.3554169
0,radius=0.61388785,0.14847898,0.5950784
0,radius=0.96574616,0.047158778,0.6628341
0,radius=0.6706843,0.08647382,0.42843926
0,radius=0.10386896,0.88216096,0.099888325
0,radius=0.87403554,0.45637268,0.36383075
0,radius=0.3949114,0.21429598,0.03404492
0,radius=0.47046155,0.4755025,0.5179491
0,radius=0.07865906,0.5660507,0.35306233
0,radius=0.112416804,0.93510073,0.92950225
0,radius=0.11668277,0.2198093,0.40641373
0,radius=0.297275,0.19031435,0.7137817
0,radius=0.4620943,0.84421027,0.46639067
0,radius=0.71852845,0.9241277,0.30701077
0,radius=0.09198749,0.9673343,0.87478757
0,radius=0.66871375,0.2201401,0.30431956
0,radius=0.43227446,0.30108166,0.022576988
0,radius=0.12998551,0.9172439,0.6748498
0,radius=0.8910335,0.2801602,0.8056676
0,radius=0.93057585,0.18581891,8.981824E-4
0,radius=0.8299223,0.50640166,0.47885966
0,radius=0.691316,0.07726228,0.15997607
0,radius=0.7936056,0.67543244,0.4477908
0,radius=0.63230836,0.37866056,0.81660736
0,radius=0.7057082,0.6792971,0.5316001
0,radius=0.57854974,0.9991121,0.5555668
0,radius=0.5831183,0.58013976,0.87421817
0,radius=0.3541571,0.48146623,0.5931351
0,radius=0.7869405,0.979273,0.30830956
0,radius=0.7385105,0.06382477,0.3180622
0,radius=0.2879541,0.6856116,0.4089988
1,radius=0.83234596,0.32699376,0.31539178
1,radius=0.37947416,0.12871218,0.59681916
1,radius=0.76533514,0.083664656,0.42681253
1,radius=0.34851706,0.4851535,0.06684148
1,radius=0.9499944,0.43884963,0.4877519
1,radius=0.9783236,0.13602352,0.952778
1,radius=0.66069657,0.18510568,0.53825355
1,radius=0.3315574,0.48213053,0.002132833
1,radius=0.19995922,0.08318734,0.8127562
1,radius=0.11924672,0.59125453,0.5919564
1,radius=0.56967,0.8320431,0.024191916
1,radius=0.821578,0.8460458,0.9130882
1,radius=0.099398255,0.54063314,0.67149746
1,radius=0.14843315,0.90667635,0.03990352
1,radius=0.18269247,0.9826641,0.38773233
1,radius=0.062024355,0.45435178,0.7124432
1,radius=0.9725639,0.9311446,0.7296982
1,radius=0.920411,0.5886573,0.21353519
1,radius=0.7798652,0.60330135,0.6962218
1,radius=0.92201865,0.74754864,0.8031791
1,radius=0.6710911,0.51353306,0.11567515
1,radius=0.65998554,0.70311457,0.13903105
1,radius=0.55212796,0.15631562,0.23095644
1,radius=0.6603237,0.872266,0.4889452
1,radius=0.63893217,0.42460275,0.4283883
1,radius=0.8715796,0.6082078,0.21253395
1,radius=0.96635014,0.6232408,0.7693251
1,radius=0.8814546,0.6117616,0.92840606
1,radius=0.5372146,0.1958999,0.7797666
1,radius=0.54834163,0.6308334,0.061123013
1,radius=0.7020911,0.7260453,0.4601698
1,radius=0.6922742,0.082285166,0.3459552
1,radius=0.492074,0.20642811,0.4148962
1,radius=0.19836122,0.8372964,0.2137419
1,radius=0.41737098,0.64964366,0.60397625
1,radius=0.40790975,0.14607769,0.6535787
1,radius=0.27297157,0.06805116,0.9118776
1,radius=0.4546178,0.21883184,0.14069301
1,radius=0.4287061,0.45803082,0.043494344
1,radius=0.9811359,0.4638,0.07897824
1,radius=0.140154,0.41093916,0.99432534
1,radius=0.26596087,0.6600711,0.9583294
1,radius=0.78663456,0.23480994,0.12881464
1,radius=0.6599845,0.81624514,0.48669565
1,radius=0.42969668,0.7379361,0.8445553
1,radius=0.73491687,0.8356565,0.6494639
1,radius=0.2085818,0.0760116,0.58695906
1,radius=0.21915072,0.7995313,0.83461684
1,radius=0.056753635,0.78216094,0.78234845
1,radius=0.5402738,0.46139807,0.9308834
1,radius=0.7096731,0.58789957,0.014719069
1,radius=0.70102376,0.818683,0.24993694
1,radius=0.3178994,0.9488696,0.8675115
1,radius=0.8833841,0.057936847,0.5527278
1,radius=0.40934253,0.7732535,0.96170825
1,radius=0.6655147,0.84757364,0.017893672
1,radius=0.63932085,0.0023661256,0.5358811
1,radius=0.96154326,0.9349958,0.4702435
1,radius=0.0445382,0.7640996,0.6871789
1,radius=0.9422883,0.11146772,0.94413507
1,radius=0.14851612,0.70769316,0.7264138
1,radius=0.8935689,0.51299,0.8508093
1,radius=0.8930888,0.024101317,0.08974147
1,radius=0.2469117,0.40159917,0.027681708
1,radius=0.21437496,0.9254511,0.086921155
1,radius=0.7051615,0.32796425,0.61679184
1,radius=0.6043479,0.5062697,0.12627125
1,radius=0.4405778,0.41594684,0.7256399
1,radius=0.89720833,0.94129133,0.040074706
1,radius=0.68745625,0.24929613,0.26072747
1,radius=0.39642507,0.02712065,0.27939105
1,radius=0.84256136,0.40010363,0.7220662
1,radius=0.74151206,0.07864332,0.57862
1,radius=0.043450773,0.13303089,0.07092416
1,radius=0.054873466,0.38210166,0.49828106
1,radius=0.7409476,0.54722744,0.55999887
1,radius=0.6168962,0.8677126,0.26527917
1,radius=0.96516526,0.5646246,0.9746004
1,radius=0.5482286,0.663587,0.14334244
1,radius=0.9703035,0.5137424,0.64534587
1,radius=0.62548107,0.93372893,0.71144086
1,radius=0.9802683,0.6626864,0.7282465
1,radius=0.049767733,0.895962,0.10147804
1,radius=0.24910927,0.97182184,0.48113424
1,radius=0.12781882,0.015213847,0.7691572
1,radius=0.77069366,0.44131523,0.6815266
1,radius=0.95762616,0.62558854,0.61735624
1,radius=0.4935609,0.10171574,0.8970143
1,radius=0.04657948,0.05543697,0.30979806
1,radius=0.5070381,0.7059865,0.31661397
1,radius=0.6692,0.009468138,0.89079005
1,radius=0.8807976,0.12452704,0.9677042
1,radius=0.062262416,0.53836733,0.09342098
1,radius=0.73022103,0.30169803,0.9586279
1,radius=0.46967977,0.35726756,0.926951
1,radius=0.34109437,0.4838298,0.09044558
1,radius=0.5643424,0.30981046,0.21586144
1,radius=0.72431946,0.07914567,0.68844754
1,radius=0.81457716,0.9784843,0.9720892
1,radius=0.9668345,0.74414885,0.7500956
2,radius=0.8357641,0.72709054,0.5581535
2,radius=0.31220794,0.98295355,0.29817998
2,radius=0.9972481,0.1366862,0.42067498
2,radius=0.336177,0.57036406,0.046097577
2,radius=0.42022508,0.36192638,0.9951285
2,radius=0.9421544,0.42077142,0.74213105
2,radius=0.0045343637,0.15631175,0.8472605
2,radius=0.14868253,0.7020367,0.32861638
2,radius=0.68321514,0.8769234,0.29156047
2,radius=0.060286403,0.5256406,0.62404966
2,radius=0.7206989,0.056723297,0.13508976
