time,radius,x,y
0,radius=0.34242964,0.0024472475,0.118196905
0,radius=0.8067657,0.13769054,0.03639251
0,radius=0.6412065,0.08471799,0.6893801
0,radius=0.14020991,0.5721693,0.7874704
0,radius=0.06874162,0.93196714,0.5645027
0,radius=0.22975826,0.06695032,0.7942115
0,radius=0.09502137,0.21693236,0.03662342
0,radius=0.5718156,0.8993157,0.15379131
0,radius=0.28331274,0.31894374,0.57829833
1,radius=0.24986345,0.981439,0.29425508
1,radius=0.660671,0.9969452,0.9123085
1,radius=0.22230881,0.5451257,0.36033982
1,radius=0.7187289,0.48621237,0.3218966
1,radius=0.2601251,0.26126146,0.28694218
1,radius=0.21485442,0.3132611,0.60025114
1,radius=0.1089257,0.47934783,0.14760119
1,radius=0.7411563,0.4400791,0.72013485
1,radius=0.7937277,0.35768288,0.48880994
2,radius=0.6884727,0.9031174,0.99354255
2,radius=0.661029,0.82501197,0.30060285
2,radius=0.2666765,0.76018476,0.7266214
2,radius=0.515702,0.5262192,0.53906786
2,radius=0.1956042,0.12661004,0.8092945
2,radius=0.7691856,0.1332742,0.7277122
2,radius=0.1463427,0.4310878,0.043943167
2,radius=0.54958534,0.3114391,0.93129605
2,radius=0.054504633,0.34804666,0.10466963
3,radius=0.5431043,0.90531254,0.27567744
3,radius=0.80760056,0.13682902,0.56925434
3,radius=0.9924827,0.29391825,0.9144083
3,radius=0.30398607,0.2884971,0.8871939
3,radius=0.37455094,0.80049026,0.64421636
3,radius=0.1884327,0.66465646,0.41856164
3,radius=0.9239874,0.8945124,0.9895941
3,radius=0.6428837,0.26981175,0.5296915
3,radius=0.8935195,0.6985192,0.10987514
4,radius=0.8070891,0.44704306,0.3916871
4,radius=0.43382424,0.38927275,0.9690448
4,radius=0.6797894,0.80654407,0.28532517
4,radius=0.42011398,0.6102917,0.044244647
4,radius=0.078336716,0.16272736,0.8492459
4,radius=0.3144796,0.8488276,0.82251966
4,radius=0.3608569,0.5797598,0.015707195
4,radius=0.80603147,0.96954566,0.4636948
4,radius=0.68587273,0.7462729,0.4128847
5,radius=0.44981593,0.028823435,0.72858334
5,radius=0.8987143,0.9800218,0.48237532
5,radius=0.09866917,0.14431643,0.1504736
5,radius=0.7802222,0.12704074,0.7916525
5,radius=0.15791738,0.006456256,0.7042388
5,radius=0.6079606,0.009979665,0.1322549
5,radius=0.5608753,0.21049225,0.7734435
5,radius=0.98558843,0.45286798,0.03112644
5,radius=0.79837525,0.75109154,0.9567879
6,radius=0.9010408,0.8007319,0.83092636
6,radius=0.008447647,0.95814914,0.55554867
6,radius=0.7007169,0.84526163,0.20164871
6,radius=0.375287,0.55968547,0.65059155
6,radius=0.364644,0.34011292,0.15214908
6,radius=0.55441386,0.41678345,0.995893
6,radius=0.18831837,0.18309695,0.90826184
6,radius=0.5013757,0.74233854,0.66230834
6,radius=0.9895277,0.5616812,0.9959222
7,radius=0.10466623,0.18657154,0.33375084
7,radius=0.39335394,0.64654183,0.6111917
7,radius=0.76732504,0.96782446,0.09817505
7,radius=0.24857754,0.7301014,0.77594966
7,radius=0.98931926,0.46178484,0.52163666
7,radius=0.25482512,0.6854762,0.16945738
7,radius=0.94256073,0.61679876,0.9912274
7,radius=0.2586099,0.42217243,0.95291156
7,radius=0.23759109,0.1518364,0.540342
8,radius=0.45471895,0.43697232,0.60447544
8,radius=0.014072895,0.5157146,0.6094982
8,radius=0.33251643,0.679604,0.16532373
8,radius=0.08503288,0.17469102,0.039830565
8,radius=0.1527558,0.2796055,0.045306683
8,radius=0.9540399,0.5929006,0.94811666
8,radius=0.055232882,0.91739553,0.22447395
8,radius=0.44369668,0.5306051,0.8501853
8,radius=0.6133465,0.022009015,0.4126398
9,radius=0.5534129,0.69915867,0.6897418
9,radius=0.16496152,0.045228183,0.6564863
9,radius=0.07290536,0.5429543,0.121527195
9,radius=0.6930925,0.0383842,0.36738378
9,radius=0.20459849,0.56876934,0.91319704
9,radius=0.15788889,0.59764993,0.34116554
9,radius=0.5457274,0.7739851,0.48210388
9,radius=0.9478424,0.94668835,0.20144296
9,radius=0.29737496,0.6846906,0.3410867
10,radius=0.55071443,0.84632903,0.20519
10,radius=0.30679685,0.7096839,0.3869697
10,radius=0.14649653,0.3848412,0.37704116
10,radius=0.34766817,0.48751664,0.13150984
10,radius=0.9175535,0.37706727,0.90373176
10,radius=0.69781274,0.059488475,0.031092525
10,radius=0.33517212,0.07806414,0.7214799
10,radius=0.57665616,0.057054937,0.71296364
10,radius=0.09621078,0.106084466,0.2649665
11,radius=0.5982309,0.47680682,0.026577234
11,radius=0.669234,0.71189743,0.010050356
11,radius=0.14646435,0.6334028,0.40497333
11,radius=0.21442443,0.5885947,0.052525878
11,radius=0.82274956,0.99009323,0.57204264
11,radius=0.13738948,0.551755,0.20379382
11,radius=0.5468196,0.0057379603,0.16325533
11,radius=0.7161932,0.96018136,0.84584355
11,radius=0.3120085,0.16036624,0.7507375
12,radius=0.08894962,0.7988933,0.6412455
12,radius=0.06808317,0.6778231,0.055433452
12,radius=0.3844123,0.4888798,0.37884706
12,radius=0.8874775,0.17443353,0.48136735
12,radius=0.95545477,0.26598394,0.977966
12,radius=0.9524903,0.8931512,0.82639545
12,radius=0.5619089,0.4199654,0.5435734
12,radius=0.964363,0.4817075,0.568148
12,radius=0.13142473,0.5937283,0.22464538
13,radius=0.9276879,0.85251766,0.24226892
13,radius=0.30658782,0.55128527,0.69002354
13,radius=0.85839397,0.8183647,0.78483254
13,radius=0.6767446,0.021317601,0.3994456
13,radius=0.5697357,0.1420579,0.41382372
13,radius=0.70444846,0.38378602,0.6584371
13,radius=0.20513469,0.9721805,0.08932716
13,radius=0.6396551,0.64102024,0.7173889
13,radius=0.15919119,0.5104845,0.48206484
14,radius=0.6696396,0.09418589,0.7001921
14,radius=0.16840875,0.26459223,0.17381853
14,radius=0.8286628,0.8282475,0.06289351
14,radius=0.91527903,0.86056125,0.5822033
14,radius=0.29766035,0.4033901,0.12112957
14,radius=0.6856275,0.62838894,0.968688
14,radius=0.32844794,0.8285558,0.24288374
14,radius=0.4330116,0.11518484,0.6449398
14,radius=0.8116695,0.6456402,0.011423111
15,radius=0.7735282,0.9440502,0.80608565
15,radius=0.6284065,0.4869579,0.736124
15,radius=0.03507805,0.886436,0.32926297
15,radius=0.9168786,0.7680429,0.52546895
15,radius=0.48848808,0.5771742,0.28576565
15,radius=0.1735338,0.01249969,0.34270507
15,radius=0.837504,0.5776178,0.9152682
15,radius=0.582401,0.4822377,0.3502081
15,radius=0.06637627,0.4705956,0.3223036
16,radius=0.07591891,0.69260335,0.40414965
16,radius=0.49327064,0.20230633,0.14459652
16,radius=0.1380719,0.8903352,0.8254539
16,radius=0.6062308,0.60398865,0.25754583
16,radius=0.8122188,0.99028724,0.5454636
16,radius=0.2612276,0.799862,0.6667758
16,radius=0.8651999,0.30396062,0.99459934
16,radius=0.57712966,0.70751375,0.6789218
16,radius=0.016358793,0.3018961,0.27421623
17,radius=0.19454378,0.27137715,0.318969
17,radius=0.40070015,0.34795737,0.34450042
17,radius=0.27686024,0.9450016,0.24656153
17,radius=0.6174414,0.09998232,0.46798187
17,radius=0.37342012,0.11448169,0.114240885
17,radius=0.76842,0.5998723,0.9282685
17,radius=0.47720402,0.9575323,0.35671532
17,radius=0.37902308,0.5429224,0.4194768
17,radius=0.9012985,0.10061002,0.9234231
18,radius=0.20428514,0.8835028,0.47987115
18,radius=0.17059946,0.6449481,0.72919387
18,radius=0.5300113,0.24529707,0.12444395
18,radius=0.8808267,0.47109407,0.9124892
18,radius=0.28799486,0.54000914,0.68112123
18,radius=0.08929688,0.034751236,0.44650745
18,radius=0.18317139,0.3981682,0.5771214
18,radius=0.043557942,0.48311615,0.70376587
18,radius=0.036801577,0.43862545,0.8085582
19,radius=0.28302675,0.4264893,0.15942574
19,radius=0.25919765,0.91445524,0.42565823
19,radius=0.8014339,0.5367154,0.84474146
19,radius=0.7980865,0.026956439,0.0387038
19,radius=0.57246995,0.5360879,0.5194754
19,radius=0.13959599,0.7922096,0.8715684
19,radius=0.68051296,0.29781663,0.5418904
19,radius=0.7326309,0.63707614,0.9443514
19,radius=0.08763069,0.6772145,0.022626996
20,radius=0.088317275,0.59641576,0.27940774
20,radius=0.4666556,0.78804535,0.22647631
20,radius=0.7962011,0.5838777,0.82237226
20,radius=0.8635878,0.3900553,0.7892977
20,radius=0.6958292,0.98446524,0.8295055
20,radius=0.9495319,0.88489413,0.85271883
20,radius=0.70461124,0.46066064,0.22186387
20,radius=0.30781305,0.31973606,0.9858673
20,radius=0.8222136,0.59465396,0.4483226
21,radius=0.058639824,0.14013231,0.7170229
21,radius=0.84539926,0.04695785,0.7143339
21,radius=0.8033983,0.55644816,0.10684049
21,radius=0.3287152,0.7063925,0.7444185
21,radius=0.2535367,0.13657427,0.32045686
21,radius=0.9904381,0.42704576,0.89525265
21,radius=0.033784866,0.8733939,0.8528712
21,radius=0.8408661,0.08032465,0.9532297
21,radius=0.20789206,0.92534524,0.12336904
22,radius=0.52411634,0.07389474,0.14633828
22,radius=0.6414079,0.8829521,0.9120668
22,radius=0.3170799,0.24961597,0.1960864
22,radius=0.29903305,0.29598987,0.66815454
22,radius=0.24643052,0.7819132,0.40221953
22,radius=0.40243334,0.3651858,0.058326006
22,radius=0.39047784,0.23400438,0.74825263
22,radius=0.43366086,0.5842709,0.42053258
22,radius=0.49191368,0.42136598,0.84532416
23,radius=0.12236273,0.5532301,0.030910075
23,radius=0.3968373,0.47861147,0.6564528
23,radius=0.36908346,0.027615607,0.8476313
23,radius=0.2644378,0.70991486,0.9963146
23,radius=0.2372899,0.14976692,0.24392354
23,radius=0.65615916,0.12254459,0.69867975
23,radius=0.9579852,0.57384384,0.449363
23,radius=0.9885175,0.5268144,0.24364471
23,radius=0.9880303,0.14465624,0.9144063
24,radius=0.65138435,0.83318216,0.6946863
24,radius=0.22406763,0.1976,0.5919824
24,radius=0.33355725,0.15251821,0.61729586
24,radius=0.832886,0.39541548,0.63289374
24,radius=0.083922446,0.21260375,0.8691131
24,radius=0.25187635,0.4243154,0.92590237
24,radius=0.5568964,0.4977398,0.8473684
24,radius=0.039879143,0.70582235,0.7340263
24,radius=0.9320736,0.08273429,0.82051384
25,radius=0.23314893,0.2925653,0.97699636
25,radius=0.51960975,0.5148536,0.770179
25,radius=0.96931875,0.9220048,0.12961203
25,radius=0.9541248,0.8217887,0.80345947
25,radius=0.64532816,0.7265192,0.028104305
25,radius=0.1503244,0.8802535,0.60862607
25,radius=0.696068,0.566375,0.15474951
25,radius=0.18704516,0.4065082,0.48578948
25,radius=0.08799094,0.792859,0.4336179
26,radius=0.51449025,0.3422355,0.3615157
26,radius=0.17068583,0.9451816,0.63981
26,radius=0.8185248,0.63047796,0.3225969
26,radius=0.6432768,0.26293325,0.7421212
26,radius=0.15450913,0.2952659,0.15902412
26,radius=0.010212541,0.113841474,0.8664061
26,radius=0.8292159,0.49162877,0.6857189
26,radius=0.46356577,0.9772871,0.5230789
26,radius=0.29951584,0.64072984,0.3199439
27,radius=0.45027333,0.17383635,0.81957763
27,radius=0.7976101,0.013653755,0.061077
27,radius=0.43488735,0.6257436,0.076167166
27,radius=0.7654275,0.94885945,0.87823963
27,radius=0.7396578,0.61128944,0.2755481
27,radius=0.33233184,0.13694388,0.4544614
27,radius=0.80671024,0.28578538,0.9756224
27,radius=0.84598625,0.086467266,0.6852309
27,radius=0.24382389,0.8778583,0.551962
28,radius=0.7160706,0.7228972,0.93399763
28,radius=0.32250535,0.7779633,0.14738387
28,radius=0.28008187,0.47696233,0.9481498
28,radius=0.7784664,0.4733088,0.7809201
28,radius=0.69732726,0.79096323,0.2728665
28,radius=0.9926024,0.9352285,0.048398495
28,radius=0.7669693,0.44585764,0.7799387
28,radius=0.9828425,0.79531306,0.9007214
28,radius=0.7031816,0.34218675,0.92443264
29,radius=0.64770865,0.44654328,0.53012055
29,radius=0.037880242,0.058408022,0.3859501
29,radius=0.61859554,0.97843,0.85508084
29,radius=0.33723366,0.6971009,0.12734151
29,radius=0.27868187,0.1507492,0.9519909
29,radius=0.9075531,0.6083093,0.56318164
29,radius=0.73014367,0.7648914,0.21526992
29,radius=0.66385305,0.6591498,0.92221105
29,radius=0.76230717,0.3942073,0.7221143
30,radius=0.647909,0.5563057,0.674569
30,radius=0.24080849,0.07712871,0.46731418
30,radius=0.20524162,0.388488,0.53616863
30,radius=0.21980155,0.8584211,0.074539125
30,radius=0.815598,0.74583113,0.87093097
30,radius=0.43951184,0.066676795,0.07108301
30,radius=0.73614365,0.61495686,0.45909882
30,radius=0.91907424,0.36840355,0.41396874
30,radius=0.69390535,0.561556,0.2657495
31,radius=0.21877235,0.15645689,0.6530232
31,radius=0.09837884,0.680679,0.06698525
31,radius=0.0058151484,0.09614152,0.3747844
31,radius=0.2769189,0.7776006,0.691867
31,radius=0.26432407,0.5056266,0.28565675
31,radius=0.29494554,0.9690596,0.42919934
31,radius=0.4402274,0.259606,0.21349949
31,radius=0.32172382,0.884821,0.64296997
31,radius=0.9618265,0.45547515,0.8013295
32,radius=0.70825213,0.85769284,0.2609653
32,radius=0.81358796,0.27848166,0.6288721
32,radius=0.31809092,0.99768275,0.78133947
32,radius=0.5713265,0.92374,0.6112004
32,radius=0.14663738,0.57144123,0.64074844
32,radius=0.6746689,0.38962764,0.66962683
32,radius=0.86580455,0.9786189,0.86947125
32,radius=0.7970756,0.21575183,0.48967856
32,radius=0.4623654,0.89155406,0.074612975
33,radius=0.046883762,0.4215814,0.6941937
33,radius=0.40979427,0.3847791,0.15674925
33,radius=0.39004064,0.21538544,0.036029518
33,radius=0.5460726,0.9614705,0.4808169
33,radius=0.18202531,0.5820024,0.812632
33,radius=0.83171827,0.33776248,0.54333943
33,radius=0.19812787,0.8388163,0.5102491
33,radius=0.0075206757,0.44500595,0.21301627
33,radius=0.9836345,0.11655736,0.98293036
34,radius=0.49663496,0.3409726,0.81600434
34,radius=0.7652781,0.5424454,0.59998256
34,radius=0.02241236,0.8830519,0.22529739
34,radius=0.60325044,0.6435051,0.3708549
34,radius=0.854892,0.7768148,0.8100665
34,radius=0.5013248,0.32700694,0.40462607
34,radius=0.5703282,0.039269388,0.97254324
34,radius=0.0878309,0.8880252,0.5295734
34,radius=0.52258295,0.98231864,0.9001247
35,radius=0.8870672,0.38839895,0.0749256
35,radius=0.71395797,0.9533523,0.43728948
35,radius=0.5214398,0.35460937,0.10761058
35,radius=0.80232346,0.55534816,0.49200082
35,radius=0.17063099,0.93631655,0.90041274
35,radius=0.1521731,0.9154777,0.8376679
35,radius=0.48347938,0.30875468,0.11955392
35,radius=0.6176177,0.8143944,0.38812548
35,radius=0.2835726,0.9457549,0.2683292
36,radius=0.17083693,0.44940782,0.29043138
36,radius=0.75999165,0.9353356,0.41492552
36,radius=0.4085508,0.19920528,0.89440006
36,radius=0.92282575,0.76260126,0.22419196
36,radius=0.3691107,9.1326237E-4,0.54912376
36,radius=0.29827422,0.49102372,0.25980783
36,radius=0.56599313,0.3974589,0.39754063
36,radius=0.19725728,0.8390552,0.3861695
36,radius=0.7352342,0.51514,0.92167175
37,radius=0.3378331,0.9920765,0.2692902
37,radius=0.8991806,0.18409622,0.12015909
37,radius=0.6514087,0.7965535,0.6040492
37,radius=0.4760769,0.4702497,0.28506517
37,radius=0.967395,0.8651365,0.9567555
37,radius=0.87603647,0.9251301,0.16063857
37,radius=0.1087445,0.8742238,0.33897674
37,radius=0.747902,0.9459628,0.40281588
37,radius=0.4212907,0.7622125,0.27662098
38,radius=0.8374206,0.5483119,0.25162023
38,radius=0.9578717,0.19873416,0.16019487
38,radius=0.97667694,0.401344,0.80298054
38,radius=0.6502167,0.7207138,0.87562823
38,radius=0.6303807,0.668907,0.40494698
38,radius=0.96323746,0.9508414,0.27554715
38,radius=0.8499094,0.8249416,0.79551184
38,radius=0.5214468,0.5736905,0.48900235
38,radius=0.72338074,0.28996122,0.96718365
39,radius=0.54115623,0.80842763,0.7542194
39,radius=0.24659479,0.83402956,0.18395984
39,radius=0.32957196,0.13593584,0.85591155
39,radius=0.6296909,0.75750315,0.40783077
39,radius=0.41926545,0.13338661,0.7482802
39,radius=0.28025675,0.5610583,0.10870296
39,radius=0.89703685,0.012155652,0.57670504
39,radius=0.92889297,0.37008703,0.7145078
39,radius=0.6304136,0.0929777,0.79177487
40,radius=0.058421075,0.3510474,0.28048915
40,radius=0.9087629,0.93302596,4.2134523E-4
40,radius=0.08132249,0.35447705,0.3616808
40,radius=0.09023321,0.44402933,0.40001
