time,radius,x,y
0,radius=0.76665723,0.4674635,0.4493279
0,radius=0.47757167,0.6487608,0.66048914
0,radius=0.66069657,0.50732964,0.70641077
0,radius=0.90884864,0.8838065,0.50341964
0,radius=0.487346,0.37354136,0.27199858
0,radius=0.71133757,0.19649124,0.49155515
0,radius=0.9571487,0.5036894,0.51413167
0,radius=0.5302201,0.647448,0.40322995
0,radius=0.70073354,0.32727307,0.23026717
0,radius=0.24346417,0.09610385,0.6039689
0,radius=0.8818357,0.21729308,0.6238812
0,radius=0.3853523,0.47920215,0.72784
0,radius=0.71746963,0.20058715,0.7509044
0,radius=0.8109594,0.25394046,0.285972
0,radius=0.7560142,0.9352655,0.4472381
0,radius=0.84602284,0.50238276,0.2702036
0,radius=0.055960536,0.118971944,2.9975176E-4
0,radius=0.94123656,0.81439507,0.07053411
0,radius=0.88430285,0.33725524,0.32435012
0,radius=0.73527676,0.15106505,0.50061446
0,radius=0.1412394,0.7229654,0.17332536
0,radius=0.8946181,0.8580685,0.095537186
0,radius=0.2174874,0.11484164,0.3082996
0,radius=0.5397057,0.3652137,0.17551899
0,radius=0.7615036,0.55455995,0.30712754
0,radius=0.97459036,0.12835169,0.7399648
0,radius=0.6202607,0.11329323,0.6935782
0,radius=0.41029137,0.181449,0.9388843
0,radius=0.9924111,0.8223257,0.51838535
0,radius=0.09084463,0.88860095,0.65256643
0,radius=0.5110373,0.8884924,0.21717125
0,radius=0.7971004,0.6717823,0.106202304
0,radius=0.054605484,0.6095293,0.6367027
0,radius=0.37440193,0.5712162,0.80483705
0,radius=0.7674202,0.031328797,0.8183974
0,radius=0.10857743,0.3076883,0.4714359
0,radius=0.78643215,0.44339615,0.16734827
0,radius=0.20871657,0.7312563,0.8438765
0,radius=0.5644938,0.14258629,0.47139782
0,radius=0.15433562,0.7816871,0.103943646
0,radius=0.9752151,0.8739379,0.6613656
0,radius=0.22139454,0.7351338,0.70391214
0,radius=0.04733962,0.112240255,0.8170671
0,radius=0.5604478,0.6822925,0.32771665
0,radius=0.0024417043,0.13482875,0.49487716
0,radius=0.90325403,0.5457266,0.8034793
0,radius=0.2943843,0.6464693,0.9561671
0,radius=0.56192774,0.5667149,0.88058025
0,radius=0.09829569,0.12841713,0.9038015
0,radius=0.51946044,0.27707094,0.8383494
0,radius=0.061608672,0.4312604,0.83116704
0,radius=0.03636837,0.33194196,0.22716606
0,radius=0.8685954,0.42824537,0.82366705
0,radius=0.6453321,0.9247184,0.042528033
0,radius=0.013379931,0.17032266,0.5516628
0,radius=0.78795815,0.068487465,0.09664804
0,radius=0.72363067,0.9959136,0.63209146
0,radius=0.9004623,0.79374635,0.17964733
0,radius=0.04468912,0.09356344,0.9095899
0,radius=0.5990787,0.058790684,0.09402567
0,radius=0.89680463,0.11966276,0.5660294
0,radius=0.5317248,0.7791075,0.5278604
0,radius=0.42973852,0.6164453,0.2102713
0,radius=0.598537,0.31745487,0.1110757
0,radius=0.056421697,0.18891048,0.21617597
0,radius=0.28060037,0.3581456,0.80028826
0,radius=0.7378509,0.21532738,0.6099181
0,radius=0.94670635,0.17357248,0.7683013
0,radius=0.17332798,0.2957952,0.7129205
0,radius=0.1945259,0.160236,0.6019323
0,radius=0.13116884,0.45396978,0.01769954
0,radius=0.5883276,0.27353328,0.13997895
0,radius=0.56920046,0.00956744,0.68483454
0,radius=0.54643923,0.43304294,0.44888288
0,radius=0.9880538,0.4956898,0.58095056
0,radius=0.98771185,0.99004555,0.047807038
0,radius=0.6157562,0.69480443,0.76156837
0,radius=0.011577725,0.9501069,0.08712733
0,radius=0.016831338,0.5175282,0.037410498
0,radius=0.937222,0.3105973,0.6111468
0,radius=0.73655146,0.36666536,0.8248261
0,radius=0.5254482,0.6435564,0.35117984
0,radius=0.6687906,0.71989906,0.17236674
0,radius=0.051199853,0.64409906,0.97923064
0,radius=0.4547832,0.70688534,0.697271
0,radius=0.48066902,0.9137096,0.83637637
0,radius=0.80622894,0.21964157,0.06688774
0,radius=0.74133295,0.72270197,0.06819141
0,radius=0.6788706,0.64843714,0.8601246
0,radius=0.8914133,0.5011116,0.44662672
1,radius=0.4752798,0.7569388,0.18362844
1,radius=0.82324606,0.6867081,0.45659798
1,radius=0.35769546,0.46709746,0.0011050701
1,radius=0.7507291,0.15680534,0.48429585
1,radius=0.9114742,0.64144474,0.69439393
1,radius=0.365326,0.35297877,0.1687851
1,radius=0.05656445,0.750256,0.89839476
1,radius=0.57593447,0.08900708,0.29924512
1,radius=0.85058856,0.8906001,0.72287506
1,radius=0.22924411,0.37180626,0.25295973
1,radius=0.8718617,0.55001706,0.082487404
1,radius=0.7789011,0.582614,0.44689333
1,radius=0.5215662,0.8033105,0.51544434
1,radius=0.5885039,0.0687958,0.04977113
1,radius=0.68787974,0.9095794,0.048672736
1,radius=0.18367922,0.6488684,0.29672933
1,radius=0.7542917,0.6545826,0.2385115
1,radius=0.6446466,0.6153234,0.06521344
1,radius=0.90220344,0.6476763,0.082773626
1,radius=0.12958318,0.1973632,0.03406787
1,radius=0.4878958,0.7266009,0.88697064
1,radius=0.46503502,0.9553398,0.51057655
1,radius=0.5414542,0.12614179,0.7912151
1,radius=0.9128998,0.25680512,0.8933013
1,radius=0.8332337,0.33299226,0.28293854
1,radius=0.50923973,0.32860708,0.559803
1,radius=0.5862311,0.24866652,0.6101647
1,radius=0.4417405,0.640904,0.2622831
1,radius=0.3646176,0.0027505755,0.75568944
1,radius=0.9924297,0.6495196,0.32059908
1,radius=0.64833426,0.45854312,0.115912616
