time,radius,x,y
0,radius=0.6977548,0.17512184,0.86824226
1,radius=0.9880708,0.26166797,0.8456847
2,radius=0.93325853,0.6304044,0.266155
3,radius=0.25658023,0.03569442,0.57016546
4,radius=0.6853278,0.6130857,0.13639289
5,radius=0.8506822,0.7823908,0.9860743
6,radius=0.024034858,0.9714489,0.8036717
7,radius=0.55579114,0.59091526,0.18469441
8,radius=0.8810966,0.91386557,0.67787445
9,radius=0.27637857,0.3096398,0.06454682
10,radius=0.7131675,0.85082525,0.74130434
11,radius=0.16087967,0.7822625,0.30956823
12,radius=0.2590533,0.8226506,0.6229098
13,radius=0.6059188,0.6601197,0.40265644
14,radius=0.8712772,0.1726402,0.15369767
15,radius=0.87252605,0.8868175,0.5124477
16,radius=0.24913645,0.41871536,0.30716276
17,radius=0.5280653,0.88636905,0.29736322
18,radius=0.053224504,0.79648024,0.95952064
19,radius=0.033433795,0.68819517,0.38610244
20,radius=0.5428586,0.44904608,0.8341369
21,radius=0.7722821,0.88818663,0.73817784
22,radius=0.7643394,0.45027912,0.71245575
23,radius=0.7953675,0.74114734,0.99623245
24,radius=0.34860176,0.75743866,0.103607535
25,radius=0.92046493,0.2547779,0.52584726
26,radius=0.482754,0.53358716,0.9940662
27,radius=0.49987394,0.6395595,0.4840421
28,radius=0.22317702,0.742095,0.1951465
29,radius=0.5432206,0.29002374,0.5723945
30,radius=0.8731045,0.2889483,0.4828719
31,radius=0.13211572,0.36619604,0.56664973
32,radius=0.39226544,0.53325677,0.16671109
33,radius=0.4424411,0.542013,0.41335863
34,radius=0.6613675,0.1363287,0.7523742
35,radius=0.6940203,8.087158E-4,0.67435205
36,radius=0.42874336,0.003565073,0.64271545
37,radius=0.8942888,0.48967445,0.030992508
38,radius=0.8821576,0.21179986,0.040465534
39,radius=0.94273776,0.21103686,0.97661453
40,radius=0.35790193,0.3861496,0.22224766
41,radius=0.98661727,0.6977603,0.7877716
42,radius=0.39914924,0.17406237,0.7715487
43,radius=0.34148842,0.39724898,0.16375697
44,radius=0.90711075,0.50758845,0.43121517
45,radius=0.9674317,0.40315533,0.67527115
46,radius=0.0030379891,0.6346585,0.12103617
47,radius=0.6212305,0.07077032,0.58403283
48,radius=0.17709517,0.6774393,0.59980863
49,radius=0.8061363,0.20552433,0.012638569
