time,radius,x,y
0,radius=0.09898311,0.47563738,0.9096487
0,radius=0.86212176,0.13407582,0.49712873
0,radius=0.6378018,0.97207856,0.31485665
0,radius=0.27654332,0.013907611,0.17484641
0,radius=0.26273346,0.65569717,0.551569
0,radius=0.7075069,0.14104164,0.92162824
0,radius=0.7574536,0.31423354,0.9713394
1,radius=0.4719419,0.26416856,0.3977912
1,radius=0.6262516,0.64495623,0.8630822
1,radius=0.022102952,0.94652456,0.9905738
1,radius=0.008161902,0.9945627,0.5378898
1,radius=0.79640037,0.6102066,0.24476969
1,radius=0.4686858,0.60256857,0.7854211
1,radius=0.73610026,0.13813645,0.06806457
2,radius=0.63260823,0.5912995,0.39044577
2,radius=0.6782674,0.35960102,0.22783595
2,radius=0.8687794,0.22620451,0.01781243
2,radius=0.54701436,0.88317573,0.55816627
2,radius=0.8918486,0.69504774,0.8288572
2,radius=0.35157436,0.92668754,0.2179352
2,radius=0.85493284,0.41298318,0.795067
3,radius=0.328812,0.3999008,0.06279814
3,radius=0.51862663,0.37334806,0.17250001
3,radius=0.6165752,0.24009538,0.21402615
3,radius=0.42108262,0.078086495,0.5168219
3,radius=0.981418,0.19546366,0.36983573
3,radius=0.5154405,0.59973943,0.5074819
3,radius=0.42441678,0.26253128,0.5274621
4,radius=0.005227685,0.82646596,0.4858085
4,radius=0.50550056,0.08624816,0.20102757
4,radius=0.06195253,0.5745012,0.930921
4,radius=0.47965336,0.59830564,0.3395409
4,radius=0.66387784,0.53218484,0.8854794
4,radius=0.15092587,0.48402733,0.12065768
4,radius=0.85804003,0.94768983,0.7133143
5,radius=0.022931457,0.4950459,0.024070442
5,radius=0.1958217,0.4975773,0.46733344
5,radius=0.083875716,0.6962234,0.07496607
5,radius=0.9689207,0.16563338,0.7285488
5,radius=0.023256958,0.1977827,0.87987304
5,radius=0.22065383,0.2950036,0.31912953
5,radius=0.7649192,0.49702555,0.9360537
6,radius=0.55418754,0.80374956,0.9372124
6,radius=0.32763517,0.9441691,0.2441206
6,radius=0.39050138,0.4852137,0.58933264
6,radius=0.17277509,0.751071,0.16986555
6,radius=0.2706545,0.66695166,0.059300542
6,radius=0.4471134,0.83051103,0.42013514
6,radius=0.29792708,0.13041824,0.077471316
7,radius=0.3088084,0.6583716,0.96777093
7,radius=0.53015834,0.042164028,0.50514317
7,radius=0.14237434,0.7080114,0.6819184
7,radius=0.7322382,0.40378493,0.9699973
7,radius=0.16900295,0.98669416,0.0017095804
7,radius=0.4274457,0.11276674,0.038808823
7,radius=0.10910714,0.7719028,0.19706637
8,radius=0.6901979,0.5849361,0.90983284
8,radius=0.32650733,0.62779313,0.05975467
8,radius=0.21181625,0.72736055,0.45395207
8,radius=0.26521844,0.8212409,0.08935261
8,radius=0.75977564,0.37056392,0.6013265
8,radius=0.199565,0.06679952,0.7705764
8,radius=0.6253051,0.10484648,0.71984607
9,radius=0.24560225,0.6116781,0.6046007
9,radius=0.35678047,0.75116503,0.077415645
9,radius=0.9066622,0.66629726,0.5878792
9,radius=0.28217906,0.7600149,0.856174
9,radius=0.27197224,0.9136006,0.48969012
9,radius=0.6355926,0.07768059,0.32291943
9,radius=0.20396483,0.97836655,0.99670994
10,radius=0.3975429,0.2683125,0.6533122
10,radius=0.45462292,0.57058984,0.22832543
10,radius=0.097569704,0.902727,0.91135955
10,radius=0.119576335,0.900673,0.30143374
10,radius=0.8272879,0.1089353,0.7950581
10,radius=0.3545699,0.17787772,0.6989292
10,radius=0.014292002,0.79217917,0.24193627
11,radius=0.6623039,0.08182424,0.97021693
11,radius=0.36235434,0.16093343,0.49263144
11,radius=0.44685906,0.80158406,0.23951322
11,radius=0.9666814,0.7810351,0.14479047
11,radius=0.94434935,0.23049045,0.5389465
11,radius=0.966441,0.6492039,0.13782573
11,radius=0.27502793,0.46512824,0.47136176
12,radius=0.75095916,0.85043055,0.86900824
12,radius=0.6649849,0.69021076,0.35547954
12,radius=0.31836247,0.0054731965,0.44182926
12,radius=0.24605721,0.9033231,0.25031465
12,radius=0.4485548,0.9131679,0.3401686
12,radius=0.7473933,0.46339387,0.7640756
12,radius=0.6971023,0.624229,0.47320372
13,radius=0.13876301,0.34246778,0.9157242
13,radius=0.3545906,0.030290008,0.710022
13,radius=0.55964744,0.67472184,0.84736985
13,radius=0.82280076,0.32912385,0.64361966
13,radius=0.7998244,0.25921738,0.8376528
13,radius=0.5764524,0.38337117,0.9229163
13,radius=0.19067067,0.5573806,0.6881601
14,radius=0.27634424,0.14386368,0.48723066
14,radius=0.35404915,0.89323,0.19680333
14,radius=0.2732529,0.20332706,0.7274765
14,radius=0.19350743,0.14065695,0.11116105
14,radius=0.5666765,0.67310524,0.83668834
14,radius=0.96938026,0.11248678,0.038300157
14,radius=0.9036418,0.6696699,0.064825475
15,radius=0.10832834,0.05673915,0.7302307
15,radius=0.0979802,0.65886134,0.7959253
