time,radius,x,y
0,radius=0.048530936,0.65920794,0.22776687
0,radius=0.42306596,0.3608939,0.721629
0,radius=0.4835453,0.72138965,0.2403937
0,radius=0.41806185,0.3347445,0.629968
0,radius=0.13318753,0.6587386,0.5344792
0,radius=0.57973325,0.6108151,0.8673543
1,radius=0.0044115186,0.9579092,0.6182073
1,radius=0.5793403,0.3558079,0.105050504
1,radius=0.7641628,0.45389837,0.47312498
1,radius=0.24230194,0.22670281,0.39236546
1,radius=0.18526983,0.30229706,0.6970531
1,radius=0.52793044,0.7444482,0.078225315
2,radius=0.7124449,0.59226495,0.48435682
2,radius=0.060271144,0.2165541,0.21831232
2,radius=0.43814254,0.786729,0.8458008
2,radius=0.6214721,0.5844542,0.65269595
2,radius=0.16679108,0.5285194,0.52302444
2,radius=0.7908642,0.45060802,0.803463
3,radius=0.63426465,0.24724197,0.23886383
3,radius=0.8505965,0.25729525,0.59901893
3,radius=0.7954412,0.9594243,0.9610058
3,radius=0.20064533,0.71030986,0.81125325
3,radius=0.03337896,0.53369385,0.78836066
3,radius=0.9328747,0.15591621,0.7177334
4,radius=0.810238,0.6866362,0.08745134
4,radius=0.7572241,0.34419417,0.5400363
4,radius=0.18843955,0.47672755,0.61033505
4,radius=0.5426223,0.8227327,0.49623376
4,radius=0.7425962,0.7410619,0.6478935
4,radius=0.08288276,0.22082472,0.5091146
5,radius=0.3221659,0.8963895,0.2892797
5,radius=0.07909447,0.75251055,0.48253286
5,radius=0.022532582,0.046649694,0.98250043
5,radius=0.59947777,0.031235754,0.91777945
5,radius=0.054740787,0.84072524,0.43387294
5,radius=0.32059866,0.33560365,0.6899755
6,radius=0.8557217,0.28631556,0.12725657
6,radius=0.21865577,0.9871954,0.026417375
6,radius=0.28215736,0.9633369,0.65376335
6,radius=0.8788775,0.17461413,0.34611756
6,radius=0.16945308,0.48152322,0.7925676
6,radius=0.01859355,0.90454465,0.8443162
7,radius=0.8207028,0.96681654,0.22992396
7,radius=0.9998092,0.5187712,0.70694697
7,radius=0.93281364,0.74064195,0.8341813
7,radius=0.64601976,0.53909415,0.310121
7,radius=0.080794334,0.21665227,0.50518113
7,radius=0.09264845,0.58515704,0.86049265
8,radius=0.4553051,0.39164788,0.592274
8,radius=0.17900127,0.17618012,0.46100825
8,radius=0.6580191,0.5254279,0.44469005
8,radius=0.067938685,0.1386289,0.54336226
8,radius=0.7117806,0.41405493,0.112391055
8,radius=0.3208518,0.12586844,0.27138907
9,radius=0.62232107,0.931145,0.50335354
9,radius=0.025317192,0.8686286,0.31063938
9,radius=0.8359932,0.23569554,0.63188905
9,radius=0.35953134,0.3880986,0.66450423
