time,radius,x,y
0,radius=0.39231706,0.7345432,0.048582196
0,radius=0.36752158,0.8355685,0.8998509
0,radius=0.6650724,0.4886366,0.87999994
0,radius=0.5867403,0.6032678,0.15206748
0,radius=0.71851516,0.84762025,0.21723491
0,radius=0.33059567,0.8900977,0.3759908
0,radius=0.97070765,0.031180084,0.8702656
0,radius=0.39134157,0.31753582,0.25069994
0,radius=0.8945318,0.31667048,0.13500875
0,radius=0.9831131,0.5373229,0.94837874
0,radius=0.54875547,0.62752366,0.6858186
0,radius=0.01555115,0.81480014,0.8290413
0,radius=0.17696202,0.6006345,0.6443572
0,radius=0.16135198,0.17930871,0.6870904
0,radius=0.119497,0.91772276,0.5879119
0,radius=0.1556828,0.44293898,0.73000675
0,radius=0.2141766,0.3667196,0.87360287
0,radius=0.4754634,0.36328822,0.24101007
0,radius=0.64245224,0.479388,0.7347821
0,radius=0.6408373,0.6325183,0.97627455
0,radius=0.20804477,0.21032655,0.4953326
0,radius=0.08027941,0.5006276,0.4717862
0,radius=0.40648764,0.6419937,0.44543642
0,radius=0.4036036,0.2194742,0.66597575
0,radius=0.52098703,0.41191012,0.63373125
0,radius=0.84327406,0.6004633,0.2214399
0,radius=0.56502026,0.9545463,0.7393828
0,radius=0.8728613,0.9994714,0.73972976
0,radius=0.29299337,0.549552,0.6732309
0,radius=0.45505643,0.10343993,0.14464498
0,radius=0.2844785,0.97115695,0.7992361
0,radius=0.3006336,0.09122783,0.45882916
0,radius=0.04724717,0.54345995,0.5449233
0,radius=0.5916339,0.547467,0.2285195
0,radius=0.56520545,0.72483253,0.5862069
0,radius=0.40821612,0.57474047,0.7244358
0,radius=0.50237876,0.71353877,0.024736166
0,radius=0.38254094,0.6784568,0.66267616
0,radius=0.7823672,0.60808283,0.8621631
0,radius=0.9181343,0.99208754,0.5961229
0,radius=0.24229866,0.31349248,0.32563913
0,radius=0.80247283,0.7434011,0.5682732
0,radius=0.50300705,0.9605673,0.23567027
0,radius=0.56397957,0.59178764,0.32893324
0,radius=0.56106865,0.6288669,0.5092207
0,radius=0.43336725,0.50154835,0.18928123
0,radius=0.88389677,0.42915863,0.62443995
0,radius=0.31036478,0.64792883,0.8446388
0,radius=0.66227216,0.44066447,0.48084342
0,radius=0.44538468,0.064397156,0.16888177
0,radius=0.2098732,0.6740602,0.20612872
0,radius=0.02499026,0.074656606,0.04777968
0,radius=0.5836322,0.54366404,0.115088165
0,radius=0.8347731,0.051142633,0.6399829
0,radius=0.957397,0.6649213,0.6784533
0,radius=0.21339333,0.7142368,0.6623976
0,radius=0.29386413,0.13673985,0.22907197
0,radius=0.5093544,0.91938454,0.9467762
0,radius=0.2734735,0.1715694,0.55505157
0,radius=0.6279932,0.7287645,0.032613218
1,radius=0.99131495,0.41345632,0.15744817
1,radius=0.57620966,0.80178684,0.6061469
1,radius=0.24929845,0.89747214,0.1295538
1,radius=0.4999454,0.8395975,0.26749814
1,radius=0.1792832,0.8822137,0.078868866
1,radius=0.65524596,0.7333284,0.18297356
1,radius=0.31924212,0.12911361,0.96718115
1,radius=0.18258184,0.8946629,0.16936666
1,radius=0.6675811,0.16141534,0.07588273
1,radius=0.15374315,0.083144665,0.5352191
1,radius=0.28366202,0.8559588,0.25749683
1,radius=0.33757198,0.26609135,0.7301421
1,radius=0.5797202,0.17580396,0.019149303
1,radius=0.6624532,0.4062006,0.69885796
1,radius=0.07486755,0.27478272,0.19700545
1,radius=0.32834774,0.6106672,0.36312842
1,radius=0.41974628,0.37386185,0.9991175
1,radius=0.5717591,0.021062672,0.48997962
1,radius=0.6627,0.4484836,0.082641184
1,radius=0.24818826,0.8069377,0.92925614
1,radius=0.16290152,0.8577419,0.051876187
1,radius=0.4730966,0.09062481,0.4444328
1,radius=0.5814257,0.25014675,0.70195895
1,radius=0.907315,0.9881522,0.29400563
1,radius=0.29214966,0.045837045,0.9540294
1,radius=0.5097893,0.74835443,0.16190922
1,radius=0.61235076,0.1052835,0.31598645
1,radius=0.67461574,0.35998333,0.93585706
1,radius=0.3698005,0.87413275,0.9005929
1,radius=0.5543579,0.0696035,0.92364436
1,radius=0.90717334,0.39303643,0.30190068
1,radius=0.68446577,0.29557532,0.5117642
1,radius=0.28144675,0.18413997,0.23980582
1,radius=0.08969033,0.81466776,0.31703854
1,radius=0.6653103,0.25839835,0.7299732
1,radius=0.112163186,0.59954965,0.7440907
1,radius=0.84344745,0.026734889,0.90185845
1,radius=0.9529712,0.053266466,0.8332163
1,radius=0.13935691,0.7745817,0.50903326
1,radius=0.82120985,0.7157479,0.24725008
1,radius=0.065291524,0.9969048,0.42895848
1,radius=0.9110425,0.44961149,0.44723296
1,radius=0.9561906,0.82780266,0.31831992
1,radius=0.96257794,0.006067157,0.8642777
1,radius=0.96627504,0.75283706,0.09286642
1,radius=0.48034394,0.24578524,0.7220576
1,radius=0.7736141,0.3354692,0.8441971
1,radius=0.31507397,0.33196312,0.99641955
1,radius=0.59580415,0.6470099,0.02087915
1,radius=0.6995836,0.8531582,0.15774888
1,radius=0.20732212,0.87203956,0.0228253
1,radius=0.78621054,0.85516775,0.15463501
1,radius=0.3539694,0.9743237,0.38695574
1,radius=0.2840119,0.6433447,0.23189884
1,radius=0.8707248,0.99296194,0.14143914
1,radius=0.51825315,0.86586463,0.27210677
1,radius=0.08135271,0.024611652,0.9528654
1,radius=0.92118454,0.6398792,0.72633445
1,radius=0.6779978,0.4038149,0.030155003
1,radius=0.17233348,0.21784073,0.032265842
2,radius=0.12525004,0.5353833,0.9999245
2,radius=0.8816273,0.28376466,0.27389407
2,radius=0.6401861,0.9625411,0.6993807
2,radius=0.7899253,0.9632958,0.14511108
2,radius=0.8431735,0.84354633,0.14228475
2,radius=0.76174486,0.5221009,0.7352049
2,radius=0.334633,0.3132205,0.105502486
2,radius=0.10707283,0.43373775,0.3213973
2,radius=0.9269482,0.103360355,0.72051865
2,radius=0.547153,0.8970663,0.32631332
2,radius=0.86780787,0.9250755,0.13025653
2,radius=0.91363865,0.5427464,0.8224401
2,radius=0.60279787,0.30448467,0.7705348
2,radius=0.5146279,0.6633929,0.7894106
2,radius=0.6347236,0.7122748,0.76687646
2,radius=0.39271247,0.8035716,0.03509307
2,radius=0.5205087,0.60384244,0.68825465
2,radius=0.03960395,0.95844877,0.75241965
2,radius=0.79692465,0.63722837,0.5977666
2,radius=0.655548,0.479447,0.9276774
2,radius=0.99841875,0.50702435,0.832389
2,radius=0.89087635,0.23535103,0.7288663
2,radius=0.014395118,0.37738144,0.3942619
2,radius=0.77284724,0.71100974,0.089157045
2,radius=0.19017416,0.20297986,0.47846162
2,radius=0.004565358,0.3620447,0.07182056
2,radius=0.32169038,0.056479335,0.16504055
2,radius=0.8399085,0.14738959,0.9817031
2,radius=0.12830585,0.29753947,0.84310806
2,radius=0.61262405,0.09913492,0.0034851432
2,radius=0.22414362,0.5456152,0.29918462
2,radius=0.23138988,0.15738285,0.99065876
2,radius=0.78504825,0.83973926,0.90229183
2,radius=0.6566082,0.96015567,0.5869324
2,radius=0.33148986,0.058202088,0.019161642
2,radius=0.38368404,0.82490355,0.5242726
2,radius=0.82695824,0.6984184,0.53119004
2,radius=0.14956307,0.41505492,0.64832455
2,radius=0.507354,0.75131184,0.20678365
2,radius=0.26325768,0.27229583,0.68053895
2,radius=0.21371269,0.49877316,0.22308892
2,radius=0.78915936,0.74851024,0.9984551
2,radius=0.48537618,0.48816347,0.90964895
2,radius=0.5176804,0.31331724,0.24777186
2,radius=0.961754,0.6774754,0.47254437
2,radius=0.014453113,0.27867436,0.12775749
2,radius=0.87476444,0.35687113,0.26672745
2,radius=0.77669483,0.46876234,0.036209762
2,radius=0.44088203,0.9529901,0.30403244
2,radius=0.5370382,0.9003766,0.8795396
2,radius=0.18513274,0.632194,0.9215286
2,radius=0.7722101,0.23277563,0.6064482
2,radius=0.34899354,0.06160921,0.40794003
2,radius=0.47449064,0.28283864,0.44701445
2,radius=0.9748185,0.6226649,0.103476405
2,radius=0.7115272,0.4547401,0.33264846
2,radius=0.7913637,0.8905906,0.72450227
2,radius=0.7387993,0.44063753,0.62995654
2,radius=0.047588944,0.8871807,0.7583764
2,radius=0.4848264,0.39496303,0.73946637
3,radius=0.14533728,0.32371336,0.17915899
3,radius=0.79550624,0.20294237,0.8021227
3,radius=0.5385027,0.053198636,0.21899682
3,radius=0.80664164,0.4195168,0.76633716
3,radius=0.511388,0.11106676,0.0099256635
3,radius=0.17145759,0.16714203,0.32204938
3,radius=0.75995016,0.21340066,0.8210682
3,radius=0.4457181,0.62397677,0.41326004
3,radius=0.90556085,0.8972413,0.905413
3,radius=0.7639409,0.11006969,0.4353158
3,radius=0.3374068,0.64931726,0.6378297
3,radius=0.83249253,0.8279967,0.3608325
3,radius=0.8862778,0.0735746,0.80001366
3,radius=0.02199155,0.36418802,0.43090826
3,radius=0.3545122,0.025969028,0.029059112
3,radius=0.3357029,0.8755907,0.98453355
3,radius=0.1469478,0.75266767,0.9212584
3,radius=0.60833967,0.18613935,0.9909623
3,radius=0.75970507,0.46064287,0.9262932
3,radius=0.033087432,0.116248846,0.6105755
3,radius=0.74462897,0.5358492,0.19982862
3,radius=0.46081036,0.10708016,0.42054105
3,radius=0.93873566,0.43090963,0.40003008
3,radius=0.20520425,0.3360409,0.37568504
3,radius=0.9702569,0.98812133,0.6716918
3,radius=0.1319099,0.25819123,0.832031
