time,radius,x,y
0,radius=0.88458884,0.591931,0.22026438
0,radius=0.3345654,0.86016124,0.3124438
0,radius=0.33085227,0.38077146,0.07996261
0,radius=0.29586637,0.4070385,0.2595954
0,radius=0.40273082,0.19720465,0.21655309
0,radius=0.035677493,0.3089322,0.20178884
0,radius=0.8174295,0.82722735,0.013025939
0,radius=0.7526784,0.42948657,0.06384009
0,radius=0.944892,0.7150282,0.5929799
0,radius=0.3409021,0.7571262,0.29448277
1,radius=0.98498446,0.17260063,0.48376727
1,radius=0.4163577,0.6482851,0.1317091
1,radius=0.6422456,0.34220827,0.55803937
1,radius=0.8645678,0.1444971,0.16752625
1,radius=0.5390581,0.55549216,0.704882
1,radius=0.7601185,0.11526996,0.2369538
1,radius=0.30235094,0.4871989,0.019717216
1,radius=0.16005152,0.57524145,0.40899193
1,radius=0.19277787,0.057685196,0.93262196
1,radius=0.24461138,0.7216476,0.99201745
2,radius=0.80279505,0.60461354,0.09567571
2,radius=0.9139637,0.6106872,0.50533813
2,radius=0.405118,0.46000051,0.53500926
2,radius=0.5622494,0.20095325,0.22727817
2,radius=0.4611159,0.9067631,0.3919785
2,radius=0.484479,0.5848194,0.3880844
2,radius=0.52077454,0.75182205,0.7970995
2,radius=0.36718166,0.64619875,0.50447744
2,radius=0.76777965,0.5005974,0.5647631
2,radius=0.5119388,0.50201887,0.82306814
3,radius=0.23367733,0.34186572,0.12206119
3,radius=0.38521594,0.5464759,0.67643976
3,radius=0.6111935,0.2642495,0.15222412
3,radius=0.3377198,0.80400175,0.42796236
3,radius=0.37291884,0.60508776,0.3522979
3,radius=0.6774271,0.8762009,0.17496091
3,radius=0.3990103,0.9228932,0.8403065
3,radius=0.42037547,0.17940491,0.6124469
3,radius=0.82319665,0.8310556,0.85071874
3,radius=0.8737609,0.69481254,0.30458766
4,radius=0.3263138,0.31926227,0.9490652
4,radius=0.030323982,0.87232655,0.9659117
4,radius=0.48656613,0.07718915,0.72875136
4,radius=0.6441373,0.9633981,0.6466397
4,radius=0.1786288,0.019201636,0.9344319
4,radius=0.87366927,0.49261272,0.16418976
4,radius=0.11986691,0.5033528,0.9752133
4,radius=0.2764511,0.3679067,0.18997031
4,radius=0.5790826,0.9963426,0.54389596
4,radius=0.14915395,0.38255817,0.50326097
5,radius=0.97549415,0.3360864,0.59974045
5,radius=0.25187814,0.32572788,0.8370836
5,radius=0.1532265,0.93938655,0.21552289
5,radius=0.8524552,0.36708242,0.5094721
5,radius=0.35580653,0.9780163,0.3582253
5,radius=0.02876854,0.5296419,0.85591084
5,radius=0.15538418,0.65424085,0.8164378
5,radius=0.55772394,0.34959584,0.8913578
5,radius=0.90422004,0.300461,0.02257812
5,radius=0.66056764,0.28719115,0.7586487
6,radius=0.34984106,0.20511252,0.16952842
6,radius=0.060594738,0.6679577,0.617911
6,radius=0.04578948,0.49532717,0.58377475
6,radius=0.40180528,0.20376009,0.017569661
6,radius=0.6510455,0.7950292,0.08928537
6,radius=0.8445417,0.9349569,0.8967515
6,radius=0.3570088,0.15977883,0.9433187
6,radius=0.60853815,0.21506017,0.09291583
6,radius=0.3050788,0.9113851,0.4857794
6,radius=0.21368045,0.5259249,0.48131227
7,radius=0.4255734,0.5791571,0.45067853
7,radius=0.6999535,0.31088716,0.7900409
7,radius=0.98103476,0.8348771,0.09167671
7,radius=0.95314884,0.45899093,0.23733306
7,radius=0.19387132,0.110142946,0.9611594
7,radius=0.9208376,0.8350558,0.13265848
7,radius=0.91779256,0.88582116,0.79802626
7,radius=0.5756317,0.52060705,0.25194854
7,radius=0.77258855,0.74518734,0.09015763
7,radius=0.9102835,0.24132276,0.62242293
8,radius=0.57938075,0.5354078,0.1269148
8,radius=0.2735899,0.34458208,0.32561797
8,radius=0.628369,0.39805537,0.3052222
8,radius=0.73121935,0.35015434,0.18160725
8,radius=0.65342104,0.88940436,0.25962245
8,radius=0.57922065,0.5584218,0.12874448
8,radius=0.6493362,0.89467955,0.41003883
8,radius=0.46774805,0.9934492,0.8876185
8,radius=0.24772626,0.25580186,0.07790172
8,radius=0.05269575,0.25431913,0.009798527
9,radius=0.84342366,0.07239044,0.7459967
9,radius=0.2458052,0.1851809,0.6399462
9,radius=0.41463464,0.61449546,0.60165364
9,radius=0.32440162,0.18315798,0.66886926
9,radius=0.26182222,0.9135628,0.029978812
9,radius=0.52416474,0.6236086,0.800511
9,radius=0.5393477,0.75939906,0.17898667
9,radius=0.07809603,0.25165033,0.0051605105
9,radius=0.23392814,0.19000089,0.44303542
9,radius=0.51430565,0.2010122,0.4936145
10,radius=0.7798088,0.5326743,0.021817923
10,radius=0.8201543,0.06674659,0.13649887
10,radius=0.65444535,0.439847,0.80206144
10,radius=0.34815246,0.5974027,0.7275839
10,radius=0.9431442,0.8166091,0.12335569
10,radius=0.20027637,0.30231607,0.50613064
10,radius=0.22850877,0.6241035,0.96737653
10,radius=0.5716955,0.14918363,0.41968602
10,radius=0.34775662,0.95882905,0.7091599
10,radius=0.31836158,0.547174,0.6553225
11,radius=0.8557865,0.32497543,0.01867652
11,radius=0.29133415,0.69802463,0.20288444
11,radius=0.90778774,0.91467303,0.70640904
11,radius=0.61889,0.8124502,0.22986484
11,radius=0.065865636,0.4937026,0.5483254
11,radius=0.80202997,0.01967305,0.75773335
11,radius=0.8397834,0.081169784,0.33070093
11,radius=0.10709065,0.8075066,0.4273439
11,radius=0.89370775,0.06916469,0.12252146
11,radius=0.4070161,0.21752036,0.69859236
12,radius=0.7646724,0.41202068,0.11144638
12,radius=0.7581573,0.89112234,0.060733676
12,radius=0.37298858,0.7927318,0.58374476
12,radius=0.10881281,0.33307457,0.249632
12,radius=0.9529036,0.7193061,0.68414223
12,radius=0.9812022,0.4708476,0.56356245
12,radius=0.66699994,0.6891847,0.1173749
12,radius=0.025300562,0.17938167,0.18840975
12,radius=0.45185518,0.024983883,0.7204151
12,radius=0.004009962,0.2354458,0.6583858
13,radius=0.69641745,0.57194316,0.93617046
13,radius=0.6259919,0.65639144,0.0653137
13,radius=0.8492653,0.7842935,0.825571
13,radius=0.9233269,0.62062794,0.022550344
13,radius=0.4767577,0.10509688,0.39248228
13,radius=0.9611434,0.4251147,0.8802629
13,radius=0.0232175,0.49985194,0.88020235
13,radius=0.8864154,0.33073497,0.8085685
13,radius=0.6432227,0.2571854,0.91125894
13,radius=0.3560152,0.25868797,0.49337977
14,radius=0.008702755,0.6500239,0.088083506
14,radius=0.32306975,0.91841716,0.09769356
14,radius=0.7519627,0.7976477,0.8345686
14,radius=0.25424534,0.6762889,0.2990033
14,radius=0.062479794,0.56182945,0.6927481
14,radius=0.27736318,0.7883094,0.129148
14,radius=0.3447932,0.015769184,0.7693099
14,radius=0.21841234,0.36785114,0.196962
14,radius=0.13886458,0.7383784,0.6499784
14,radius=0.38741398,0.94957215,0.40859365
15,radius=0.23951513,0.25621748,0.26187533
15,radius=0.37239712,0.64222234,0.6713747
15,radius=0.4934135,0.72482324,0.09087998
15,radius=0.6060597,0.5026903,0.93914384
15,radius=0.5483386,0.8873718,0.68830353
15,radius=0.8379388,0.6086408,0.22588146
15,radius=0.6584412,0.23886794,0.013628125
15,radius=0.5099081,0.21196133,0.6861976
15,radius=0.8132693,0.9765854,0.9325434
15,radius=0.041983724,0.20803022,0.33918256
16,radius=0.7183426,0.8567672,0.49779248
16,radius=0.24070328,0.5646631,0.018702924
16,radius=0.0604918,0.8101528,0.4581015
16,radius=0.2949174,0.045476854,0.07310659
16,radius=0.5933051,0.6564067,0.44871068
16,radius=0.8042216,0.82550067,0.7638854
16,radius=0.718109,0.33228564,0.25988698
16,radius=0.89225835,0.5226126,0.30199075
16,radius=0.7262426,0.7726079,0.7125064
16,radius=0.83318734,0.76958907,0.69180626
17,radius=0.58099425,0.84737545,0.4887163
17,radius=0.79321337,0.7983605,0.93852156
17,radius=0.79377115,0.23425847,0.0906347
17,radius=0.70782197,0.5862361,0.9285322
17,radius=0.86871517,0.9646445,0.028683841
17,radius=0.37046158,0.031285644,0.7501536
17,radius=0.4579841,0.09063041,0.7444078
17,radius=0.9124155,0.53761744,0.8547549
17,radius=0.7532294,0.593559,0.590207
17,radius=0.71235484,0.8193551,0.12297374
18,radius=0.5314066,0.4669367,0.103758454
18,radius=0.4345221,0.16793942,0.3881122
18,radius=0.76078767,0.7091324,0.12692297
18,radius=0.45919675,0.713643,0.61827034
18,radius=0.6732318,0.27205712,0.5221848
18,radius=0.25240183,0.6349029,0.14937907
18,radius=0.5842272,0.0010153055,0.9883072
18,radius=0.5189135,0.18552625,0.8702936
18,radius=0.7539301,0.3800313,0.9180858
18,radius=0.52162457,0.80331033,0.27776593
19,radius=0.4796402,0.06823003,0.9876455
19,radius=0.66784495,0.42279416,0.55361384
19,radius=0.6766877,0.6539131,0.9008241
19,radius=0.40408677,0.11774725,0.49080223
19,radius=0.84112036,0.5441383,0.8671244
19,radius=0.09793854,0.15407932,0.23907185
19,radius=0.04261011,0.8730828,0.30807
19,radius=0.73568755,0.6149653,0.7516931
19,radius=0.7362034,0.52577317,0.04713595
19,radius=0.76691395,0.30396885,0.24579465
20,radius=0.13325751,0.27167356,0.42958182
20,radius=0.46054995,0.7153156,0.7977708
20,radius=0.2678095,0.08243984,0.60799414
20,radius=0.83533615,0.7352371,0.025969088
20,radius=0.85032666,0.5366815,0.5947354
20,radius=0.22585899,0.39888912,0.862926
20,radius=0.1997866,0.73375374,0.8491065
20,radius=0.32734156,0.12652183,0.84099257
20,radius=0.52429134,0.46269917,0.90418553
20,radius=0.88312864,0.71626127,0.11257619
21,radius=0.55827916,0.7065495,0.66736573
21,radius=0.62709033,0.47632474,0.8401696
21,radius=0.32232523,0.32825518,0.58851707
21,radius=0.62358546,0.77475333,0.16040295
21,radius=0.18266314,0.56587833,0.3203084
21,radius=0.49017662,0.5284811,0.5671445
21,radius=0.9664933,0.40045172,0.32450533
21,radius=0.8812578,0.033939183,0.80934983
21,radius=0.07715899,0.8154099,0.07794565
21,radius=0.32257885,0.8093367,0.7154561
22,radius=0.6240903,0.29260045,0.07393187
22,radius=0.6284265,0.31600887,0.84945303
22,radius=0.31235516,0.47552067,0.69220376
22,radius=0.013578355,0.74908453,0.3853919
22,radius=0.16924292,0.82292575,0.4070099
22,radius=0.1816501,0.045598626,0.106656194
22,radius=0.4597599,0.24496675,0.18927604
22,radius=0.078671396,0.67319095,0.68662477
22,radius=0.37741482,0.9405161,0.45064098
22,radius=0.7234224,0.513753,0.061076164
23,radius=0.88032347,0.5309506,0.7181462
23,radius=0.84327257,0.7977529,0.6539354
23,radius=0.34318447,0.79667866,0.64482373
23,radius=0.31883204,0.13336414,0.27099758
23,radius=0.9027929,0.22811693,0.5785956
23,radius=0.9183347,0.78098637,0.34059107
23,radius=0.73009473,0.39702207,0.112953365
23,radius=0.72606796,0.6057809,0.9326759
23,radius=0.94329077,0.7117862,0.20084482
23,radius=0.91995674,0.6105439,0.8440381
24,radius=0.15627462,0.42887235,0.881231
24,radius=0.7777967,0.013313353,0.09964669
24,radius=0.9857758,0.334199,0.99309427
24,radius=0.85687876,0.2766422,0.77735287
24,radius=0.43832427,0.40400153,0.9759874
24,radius=0.10022843,0.8204437,0.5435334
24,radius=0.96876955,0.041104317,0.6798591
24,radius=0.17519855,0.34139848,0.27563107
24,radius=0.057554364,0.26693135,0.038000226
24,radius=0.06258887,0.7122019,0.39152485
25,radius=0.68990797,0.51142716,0.39023644
25,radius=0.80129033,0.9238379,0.60690725
25,radius=0.3845216,0.39671993,0.92230445
25,radius=0.3428231,0.1596666,0.8822455
25,radius=0.98462325,0.64733624,0.251871
25,radius=0.83451444,0.0045927167,0.7206083
25,radius=0.65456355,0.769778,0.18437481
25,radius=0.23655611,0.7849285,0.5535848
25,radius=0.66057414,0.08083969,0.5533399
25,radius=0.09054828,0.22460282,0.45342177
26,radius=0.61450285,0.9612707,0.86967254
26,radius=0.38590318,0.75468916,0.10851419
26,radius=0.8905429,0.50434864,0.116481364
26,radius=0.23770607,0.8501434,0.34345567
26,radius=0.7323575,0.3188395,0.25779706
26,radius=0.7904177,0.94355786,0.03841865
26,radius=0.7535926,0.27981538,0.88319397
