time,radius,x,y
0,radius=0.8340908,0.6255135,0.764442
0,radius=0.5457601,0.7545096,0.45351738
0,radius=0.995292,0.90174794,0.6314123
0,radius=0.012135923,0.54738593,0.078960955
0,radius=0.4851879,0.40748924,0.95602614
0,radius=0.35032517,0.89959604,0.7573291
0,radius=0.9721185,0.28056407,0.38093555
0,radius=0.8587234,0.97024024,0.58834946
0,radius=0.44299644,0.474137,0.66439104
0,radius=0.2525398,0.5112905,0.079535544
0,radius=0.79467916,0.6290323,0.7134476
0,radius=0.36753035,0.5391721,0.9702022
0,radius=0.07561046,0.613023,0.50545466
0,radius=0.2259807,0.98438597,0.075998366
0,radius=0.52488166,0.062345922,0.67326915
0,radius=0.77686745,0.25849605,0.44549322
0,radius=0.13991827,0.278031,0.11714637
0,radius=0.022480309,0.25033677,0.03818339
0,radius=0.8801491,0.5740814,0.8076252
0,radius=0.6735055,0.9881826,0.54344976
0,radius=0.29186642,0.2156182,0.99889034
0,radius=0.65360457,0.5648677,0.5564412
0,radius=0.48044962,0.8444913,0.5955117
0,radius=0.52448255,0.422289,0.69129103
0,radius=0.7305892,0.9582762,0.44700646
0,radius=0.44278508,0.010048807,0.19650888
0,radius=0.9877635,0.25304925,0.8180837
0,radius=0.25977027,0.5660442,0.81081283
0,radius=0.85148275,0.77790576,0.1713419
0,radius=0.7158566,0.068926394,0.24482906
1,radius=0.5543018,0.9419109,0.2665217
1,radius=0.51389104,0.57473403,0.5764957
1,radius=0.75711703,0.7703091,0.9614102
1,radius=0.44417048,0.40138865,0.7190144
1,radius=0.01738441,0.9971534,0.85274386
1,radius=0.96838963,0.17228806,0.37872118
1,radius=0.13534033,0.8707145,0.18781614
1,radius=0.083717465,0.33184236,0.2287969
1,radius=0.20657891,0.50256515,0.43638217
1,radius=0.2578944,0.4144854,0.28343123
1,radius=0.3617255,0.1443919,0.5031469
1,radius=0.019937277,0.59474343,0.9013646
1,radius=0.21095753,0.6051087,0.6190809
1,radius=0.9697686,0.28736824,0.6519377
1,radius=0.7428072,0.06370342,0.07790297
1,radius=0.83594066,0.2968709,0.34823865
1,radius=0.14676768,0.48748916,0.6130259
1,radius=0.98606664,0.5342053,0.5766891
1,radius=0.6938366,0.040254593,0.24740237
1,radius=0.6694797,0.8893199,0.39824134
1,radius=0.7827284,0.9718844,0.1722821
1,radius=0.8387282,0.014999688,0.1545279
1,radius=0.12562406,0.22812098,0.82351816
1,radius=0.89934117,0.528601,0.5647055
1,radius=0.7777038,0.62562126,0.3546583
1,radius=0.7229139,0.015690684,0.42724854
1,radius=0.11105114,0.15112102,0.8213917
1,radius=0.13395578,0.19066483,0.8867774
1,radius=0.05898261,0.54728925,0.34056735
1,radius=0.3428589,0.5438656,0.1996181
2,radius=0.09738171,0.36245203,0.1733486
2,radius=0.88204753,0.68397844,0.24596137
2,radius=0.86399645,0.19609386,0.24164015
2,radius=0.19458556,0.8545813,0.6689703
2,radius=0.79663116,0.5010827,0.82309127
2,radius=0.16210938,0.7005993,0.61898756
2,radius=0.11855757,0.6637791,0.5712945
2,radius=0.20192438,0.06229812,0.35303235
2,radius=0.2545086,0.4955839,0.89988697
2,radius=0.7311954,0.81194973,0.6900209
2,radius=0.45970148,0.7285886,0.8836368
2,radius=0.73451257,0.0031343102,0.75211376
2,radius=0.6808156,0.53114367,0.008488297
2,radius=0.7600895,0.5873253,0.21300912
2,radius=0.5677404,0.0610258,0.9003862
2,radius=0.6880103,0.9359294,0.63778263
2,radius=0.6581668,0.8023661,0.44068205
2,radius=0.23076975,0.07906687,0.31498486
2,radius=0.20875365,0.08463693,0.6899033
2,radius=0.54369354,0.91246736,0.41154492
2,radius=0.32620788,0.6690626,0.28724754
2,radius=0.0679757,0.44236523,0.58640265
2,radius=0.46835244,0.32663852,0.4326917
2,radius=0.15975237,0.0773322,0.6740015
2,radius=0.31275082,0.23477906,0.43420517
2,radius=0.3290705,0.2848283,0.745041
2,radius=0.64802927,0.29014128,0.56976897
2,radius=0.3357101,0.65522945,0.6313696
2,radius=0.85216403,0.72144353,0.43114328
2,radius=0.026272953,0.6956476,0.28457284
3,radius=0.2574541,0.8474753,0.036560416
3,radius=0.8759771,0.18251294,0.13715684
3,radius=0.26096046,0.38621807,0.18297994
3,radius=0.42624617,0.1881221,0.44809574
3,radius=0.8106987,0.41616082,0.7117353
3,radius=0.41222352,0.5791575,0.116137564
3,radius=0.95195746,0.092482746,0.7645689
3,radius=0.24591595,0.7558078,0.830328
