time,radius,x,y
0,radius=0.35200405,0.07528299,0.7078524
0,radius=0.25637573,0.11176431,0.6876191
0,radius=0.38861984,0.83553046,0.8245356
1,radius=0.2018171,0.7515303,0.76642805
1,radius=0.6010302,0.33466005,0.50076586
1,radius=0.186692,0.71996546,0.46371317
2,radius=0.45240414,0.6431463,0.56823325
2,radius=0.37217766,0.37250102,0.8332499
2,radius=0.70763916,0.28183174,0.44812512
3,radius=0.7562214,0.7169432,0.062115967
3,radius=0.67251354,0.66588277,0.58661705
3,radius=0.5975387,0.60090774,0.37479514
4,radius=0.8684453,0.7929172,0.95379764
4,radius=0.37644935,0.4540589,0.83810604
4,radius=0.35388488,0.46246612,0.18140781
5,radius=0.24168152,0.2839942,0.27912807
5,radius=0.20696676,0.68580234,0.94879645
5,radius=0.454767,0.8232223,0.1871658
6,radius=0.6434484,0.053183615,0.1324147
6,radius=0.8027501,0.20170635,0.095216215
6,radius=0.31687522,0.9831612,0.7007533
7,radius=0.8900408,0.5714228,0.015800297
7,radius=0.8206105,0.830213,0.3954733
7,radius=0.35550892,0.7596708,0.569698
8,radius=0.071383655,0.5691654,0.8002729
8,radius=0.53251356,0.06700581,0.29422873
8,radius=0.18104988,0.0820027,0.93177027
9,radius=0.27035415,0.89878255,0.79119015
9,radius=0.62051964,0.55107456,0.73789096
9,radius=0.039856315,0.679415,0.017819524
10,radius=0.46554065,0.21406019,0.0019240379
10,radius=0.6479187,0.3999238,0.20975602
10,radius=0.54427797,0.048413813,0.3174839
11,radius=0.5333222,0.7350065,0.40685135
11,radius=0.15513581,0.28090507,0.52903557
11,radius=0.5542829,0.39364648,0.9092425
12,radius=0.043262064,0.20238364,0.18573105
12,radius=0.8817874,0.18166226,0.3379944
12,radius=0.042140543,0.36657792,0.16847885
13,radius=0.18988997,0.41602337,0.0890767
13,radius=0.4325214,0.38955963,0.02871108
13,radius=0.08012688,0.5255102,0.5175663
14,radius=0.5350782,0.985295,0.62590116
14,radius=0.14147174,0.24986237,0.4239611
14,radius=0.5900913,0.20913571,0.98799855
15,radius=0.46554184,0.6873271,0.60206324
15,radius=0.78848684,0.8753329,0.20702541
15,radius=0.85654503,0.70633316,0.64820284
16,radius=0.38283175,0.36749923,0.66797924
16,radius=0.48991555,0.11647713,0.52156967
16,radius=0.5937369,0.33809847,0.54312485
17,radius=0.72373575,0.44108796,0.49987346
17,radius=0.05336982,0.5454168,0.16062367
17,radius=0.8680142,0.5796462,0.6206864
18,radius=0.74445474,0.9853159,0.08106369
18,radius=0.24186379,0.6350096,0.28403902
18,radius=0.3829195,0.7844289,0.16898197
19,radius=0.6231184,0.79750973,0.86410743
19,radius=0.74893117,0.61726713,0.015124202
19,radius=0.38082772,0.5679118,0.63534987
