time,radius,x,y
0,radius=0.81900704,0.647014,0.79618084
0,radius=0.39595622,0.710094,0.6832397
0,radius=0.112020195,0.559545,0.64599335
0,radius=0.37880504,0.6960004,0.5371938
0,radius=0.94516605,0.6952658,0.19615346
0,radius=0.2920903,0.3173296,0.9302183
0,radius=0.6156156,0.4693727,0.70809203
0,radius=0.0017551184,0.67517436,0.3908463
0,radius=0.7566925,0.96076727,0.19649172
0,radius=0.47767454,0.20229256,0.02159506
0,radius=0.9686426,0.7935105,0.6669198
0,radius=0.038057208,0.48666382,0.7375325
0,radius=0.19232649,0.44135094,0.46628845
0,radius=0.3439889,0.6521693,0.99267185
0,radius=0.18396848,0.02640587,0.40414613
0,radius=0.53370976,0.89634436,0.3829543
0,radius=0.0087659955,0.19264442,0.92977566
0,radius=0.12510538,0.5076294,0.12519807
0,radius=0.460334,0.6532741,0.12543982
0,radius=0.94615966,0.63030136,0.95740336
1,radius=0.33180255,0.5554051,0.10258669
1,radius=0.90190816,0.7706212,0.5353274
1,radius=0.30581683,0.5922287,0.048582256
1,radius=0.07572454,0.7421319,0.8568684
1,radius=0.20481712,0.96489596,0.06580585
1,radius=0.701579,0.26960552,0.2558921
1,radius=0.50389737,0.1628133,0.44048142
1,radius=0.014682293,0.3009013,0.58693916
1,radius=0.9988302,0.6966793,0.04190421
1,radius=0.5744708,0.6571066,0.6392885
1,radius=0.5494095,0.72273207,0.4562658
1,radius=0.71760046,0.5663839,0.24009567
1,radius=0.16022807,0.595055,0.0021502972
1,radius=0.75284207,0.3553244,0.6493457
1,radius=0.42246568,0.72178555,0.52195615
1,radius=0.77011013,0.45754325,0.7607865
1,radius=0.14552397,0.028786838,0.3321001
1,radius=0.37440282,0.24455345,0.19777066
1,radius=0.19305813,0.66913795,0.36449546
1,radius=0.24663645,0.92974204,0.044557452
2,radius=0.911052,0.52910614,0.29026753
2,radius=0.12963015,0.03554052,0.3385176
2,radius=0.67749166,0.61673504,0.9443232
2,radius=0.7509292,0.86422396,0.135477
2,radius=0.70391446,0.22641897,0.8037823
2,radius=0.91317964,0.8423632,0.908802
2,radius=0.8528748,0.070843756,0.37508446
2,radius=0.9790381,0.1513421,0.0012795329
2,radius=0.21462148,0.59267163,0.26714748
2,radius=0.40812802,0.30995905,0.058977008
2,radius=0.6925893,0.21226454,0.6360417
2,radius=0.059673786,0.22793865,0.12858945
2,radius=0.016150534,0.41929543,0.5275713
2,radius=0.11772102,0.33474827,0.9589978
2,radius=0.33870113,0.4253646,0.3779115
2,radius=0.47535002,0.85220116,0.417023
2,radius=0.7297553,0.77314913,0.3675018
2,radius=0.60524744,0.52917534,0.7873686
2,radius=0.29860353,0.9369352,0.64026165
2,radius=0.19792974,0.705868,0.6735188
3,radius=0.72720844,0.5539967,0.051584423
3,radius=0.8167194,0.69094867,0.7463366
3,radius=0.566986,0.13017029,0.09354168
3,radius=0.7918047,0.71226674,0.916823
3,radius=0.0958879,0.018108249,0.84198916
3,radius=0.12651068,0.5849465,0.13416237
3,radius=0.7180509,0.4729699,0.37018543
3,radius=0.52285975,0.3368674,0.9596093
3,radius=0.77165335,0.3811404,0.5218803
3,radius=0.679185,0.64601076,0.7897508
3,radius=0.2704736,0.9543768,0.25049835
3,radius=0.75411564,0.29900032,0.7117809
3,radius=0.9182519,0.26737672,0.41819847
3,radius=0.65140754,0.06256366,0.8633311
3,radius=0.64633065,0.21416044,0.059251487
3,radius=0.7602867,0.07209271,0.0658592
3,radius=0.6074467,0.05945587,0.79748654
3,radius=0.14115155,0.03770709,0.019231617
3,radius=0.09685439,0.6352867,0.03587818
3,radius=0.8484964,0.6371708,0.4354394
4,radius=0.6603146,0.6685026,0.99884105
4,radius=0.63706285,0.8382594,0.9170859
4,radius=0.37870932,0.89201075,0.17172879
4,radius=0.9058048,0.64607024,0.103084564
4,radius=0.109000444,0.9818578,0.97212386
4,radius=0.8781955,0.38843566,0.4142772
4,radius=0.4627354,2.4425983E-4,0.04673499
4,radius=0.16014105,0.3528151,0.45675993
4,radius=0.74300563,0.8511778,0.43312705
4,radius=0.5372679,0.85220075,0.74582446
4,radius=0.9472324,0.08129233,0.30792326
4,radius=0.0912478,0.13764852,0.9980042
4,radius=0.95107865,0.8896948,0.97434634
4,radius=0.54017836,0.6527683,0.8671131
4,radius=0.8273178,0.34895545,0.72810864
4,radius=0.10573161,0.55066854,0.16867554
4,radius=0.9089476,0.38577247,0.62169033
4,radius=0.11764073,0.17995256,0.5473874
4,radius=0.25842965,0.07408488,0.15211552
4,radius=0.8480825,0.34781307,0.75800973
5,radius=0.8202267,0.21031618,0.20720553
5,radius=0.06057775,0.58800995,0.39318776
5,radius=0.69897443,0.21454614,0.22306538
5,radius=0.39229423,0.2415188,0.47759104
5,radius=0.9107735,0.87352705,0.98459023
5,radius=0.13223296,0.18862587,0.4684658
5,radius=0.4095614,0.72551763,0.6229419
5,radius=0.07899511,0.4725951,0.4497307
5,radius=0.15784627,0.9798797,0.9171676
5,radius=0.79953927,0.1360274,0.06768876
5,radius=0.97564363,0.46963078,0.98695433
5,radius=0.0041090846,0.44227076,0.5155329
5,radius=0.09007549,0.2048586,0.16591126
5,radius=0.2605824,0.083403826,0.28543782
5,radius=0.09198117,0.3926028,0.15279043
5,radius=0.54827,0.93195283,0.58150226
5,radius=0.62069935,0.69196254,0.5985636
